now,published_at,price,property_status,apartment_type,size,price_m2,property_legal_document,rooms,toilets,furnishing_sell,land_type,direction,pty_characteristics,width,length,house_type,floors,block,unitnumber,size_unit,living_size,apartment_feature,commercial_type,balconydirection,floornumber
2025-10-02T23:58:15.765049,Cập nhật 6 ngày trước,"2,94 tỷ",,,134 m²,"21,94 triệu/m²",Đã có sổ,2 phòng,1 phòng,,,,Hẻm xe hơi Nhà nở hậu,,,"Nhà ngõ, hẻm",1,,,,,,,,
2025-10-02T23:58:23.207442,Cập nhật 6 ngày trước,88 tỷ,,,95 m²,"926,32 triệu/m²",Đã có sổ,nhiều hơn 10 phòng,,Nội thất đầy đủ,,Đông Bắc,,5 m,19 m,"Nhà mặt phố, mặt tiền",8,,,,95 m²,,,,
2025-10-02T23:58:23.134308,Cập nhật 6 ngày trước,"18,1 tỷ",,,80 m²,"226,25 triệu/m²",Đã có sổ,,,,Đất thổ cư,,Mặt tiền Hẻm xe hơi Thổ cư toàn bộ,5.46 m,,,,,,,,,,,
2025-10-02T23:58:24.798623,Cập nhật 6 ngày trước,165 tỷ,,,160 m²,"1,03 tỷ/m²",Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,Nội thất cao cấp,,,,8 m,,"Nhà mặt phố, mặt tiền",10,,,,,,,,
2025-10-02T23:58:25.088538,Cập nhật 7 ngày trước,"12,8 tỷ",,,59 m²,"216,95 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,,,Hẻm xe hơi,6.7 m,8.5 m,"Nhà ngõ, hẻm",4,,,,,,,,
2025-10-02T23:58:24.998605,Cập nhật 8 ngày trước,"32,9 tỷ",,,132 m²,"249,24 triệu/m²",Đã có sổ,,,,Đất thổ cư,,,,,,,,,,,,,,
2025-10-02T23:58:35.591758,Cập nhật 7 ngày trước,"6,8 tỷ",,,42 m²,"161,90 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,,,Nhà nở hậu,,,"Nhà ngõ, hẻm",5,,,,,,,,
2025-10-02T23:58:35.994259,Cập nhật 8 ngày trước,"7,2 tỷ",,,33 m²,"218,18 triệu/m²",Đã có sổ,3 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-02T23:58:36.093737,Cập nhật 7 ngày trước,6 tỷ,,,37 m²,"162,16 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,,Đông Bắc,Nhà nở hậu,4 m,9 m,"Nhà ngõ, hẻm",4,,,,,,,,
2025-10-02T23:58:36.407353,Cập nhật 2 ngày trước,"3,3 tỷ",,,65 m²,"50,77 triệu/m²",Đang chờ sổ,2 phòng,2 phòng,,,Bắc,Hẻm xe hơi Nhà nở hậu,4 m,,"Nhà ngõ, hẻm",2,,,,65 m²,,,,
2025-10-02T23:58:44.511282,Cập nhật 6 ngày trước,"6,7 tỷ",,,24.5 m²,"273,47 triệu/m²",Đã có sổ,5 phòng,4 phòng,Nội thất đầy đủ,,,,3.1 m,,"Nhà ngõ, hẻm",5,,,,24.5 m²,,,,
2025-10-02T23:58:46.532417,Cập nhật 6 ngày trước,"6,95 tỷ",,,35 m²,"198,57 triệu/m²",Đã có sổ,7 phòng,,Nội thất đầy đủ,,,Nhà nở hậu,4 m,,"Nhà ngõ, hẻm",6,,,,35 m²,,,,
2025-10-02T23:58:47.154462,Cập nhật 6 ngày trước,89 tỷ,,,342 m²,"260,23 triệu/m²",Đã có sổ,4 phòng,2 phòng,Nội thất cao cấp,,,,,,Nhà biệt thự,3,,,,,,,,
2025-10-02T23:58:47.448474,Cập nhật 6 ngày trước,"7,38 tỷ",,,56 m²,"131,79 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,,,Hẻm xe hơi Nhà nở hậu,,,"Nhà ngõ, hẻm",5,,,,,,,,
2025-10-02T23:58:48.664452,Cập nhật 5 ngày trước,"8,7 tỷ",,,38 m²,"228,95 triệu/m²",Đã có sổ,4 phòng,,Nội thất đầy đủ,,,,,,"Nhà ngõ, hẻm",5,,,,,,,,
2025-10-02T23:58:54.446222,Cập nhật 7 ngày trước,"5,2 tỷ",Chưa bàn giao,"Tập thể, cư xá",75 m²,"69,33 triệu/m²",Sổ hồng riêng,3 phòng,,,,,,,,,,,,,,,,,
2025-10-02T23:58:55.855908,Cập nhật 8 ngày trước,"8,5 tỷ",,,33 m²,"257,58 triệu/m²",Đã có sổ,3 phòng,3 phòng,Nội thất cao cấp,,,Hẻm xe hơi,,,"Nhà ngõ, hẻm",5,,,,,,,,
2025-10-02T23:58:58.457430,Cập nhật 6 ngày trước,"10,2 tỷ",,,45 m²,"226,67 triệu/m²",Đã có sổ,3 phòng,3 phòng,Nội thất đầy đủ,,Tây,Hẻm xe hơi,4.1 m,10.9 m,"Nhà ngõ, hẻm",5,,,,200 m²,,,,
2025-10-02T23:58:59.569689,Cập nhật 8 ngày trước,"9,2 tỷ",,,56 m²,"164,29 triệu/m²",Đã có sổ,2 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-02T23:58:59.653830,Cập nhật 6 ngày trước,"7,9 tỷ",,,30 m²,"263,33 triệu/m²",Đã có sổ,3 phòng,3 phòng,Nội thất đầy đủ,,,Hiện trạng khác,3.5 m,,"Nhà ngõ, hẻm",5,,,,150 m²,,,,
2025-10-02T23:59:04.425760,Cập nhật 8 ngày trước,6 tỷ,,,70 m²,"85,71 triệu/m²",Đã có sổ,,,,Đất thổ cư,,,5 m,14 m,,,,,,,,,,
2025-10-02T23:59:06.074937,Cập nhật 6 ngày trước,"4,3 tỷ",Đã bàn giao,"Tập thể, cư xá",80 m²,"53,75 triệu/m²",Sổ hồng riêng,3 phòng,,Nội thất đầy đủ,,,,,,,,,,,,,,,
2025-10-02T23:59:08.811977,Cập nhật 6 ngày trước,"23,9 tỷ",,,100 m²,239 triệu/m²,Đã có sổ,nhiều hơn 10 phòng,,,,,,,,Nhà phố liền kề,5,,,,,,,,
2025-10-02T23:59:09.562773,Cập nhật 7 ngày trước,"7,11 tỷ",,,28 m²,"253,93 triệu/m²",Đã có sổ,2 phòng,2 phòng,Nội thất đầy đủ,,,Nhà nở hậu,4.1 m,7 m,"Nhà ngõ, hẻm",,,,,84 m²,,,,
2025-10-02T23:59:10.139279,Cập nhật 7 ngày trước,"3,5 tỷ",,,64 m²,"54,69 triệu/m²",Đã có sổ,,,,Đất thổ cư,,,,,,,,,m²,,,,,
2025-10-02T23:59:13.091470,Cập nhật 7 ngày trước,"1,25 tỷ",,,86 m²,"14,53 triệu/m²",Đã có sổ,,,,Đất thổ cư,,Mặt tiền,,,,,,,,,,,,
