now,published_at,price,property_status,apartment_type,size,price_m2,property_legal_document,rooms,toilets,furnishing_sell,land_type,direction,pty_characteristics,width,length,house_type,floors,block,unitnumber,size_unit,living_size,apartment_feature,commercial_type,balconydirection,floornumber
2025-10-03T00:01:17.404744,Cập nhật 8 ngày trước,"13,5 tỷ",,,56 m²,"241,07 triệu/m²",Đã có sổ,3 phòng,,,,,,,,"Nhà ngõ, hẻm",4,,,,,,,,
2025-10-03T00:01:23.544498,Cập nhật 6 ngày trước,8 tỷ,,,80 m²,100 triệu/m²,Đã có sổ,,,,Đất thổ cư,Đông Nam,,,,,,,,m²,,,,,
2025-10-03T00:01:23.550800,Cập nhật 1 ngày trước,"6,5 tỷ",Đã bàn giao,Chung cư,82.2 m²,"79,08 triệu/m²",Sổ hồng riêng,3 phòng,2 phòng,,,Bắc,,,,,,,,,,,,Tây,13
2025-10-03T00:01:24.478960,Cập nhật 15 giờ trước,"8,5 tỷ",,,39 m²,"217,95 triệu/m²",Đã có sổ,4 phòng,,Nội thất đầy đủ,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-03T00:01:25.926406,Cập nhật 6 ngày trước,"1,9 tỷ",Đã bàn giao,"Căn hộ dịch vụ, mini",50 m²,38 triệu/m²,Hợp đồng mua bán,2 phòng,,,,,,,,,,,,,,,,,
2025-10-03T00:01:28.537914,Cập nhật 6 ngày trước,"5,6 tỷ",,,30 m²,"186,67 triệu/m²",Đã có sổ,3 phòng,3 phòng,Hoàn thiện cơ bản,,Tây,Hẻm xe hơi,4.5 m,6.6 m,"Nhà ngõ, hẻm",4,,,,150 m²,,,,
2025-10-03T00:01:32.698842,Cập nhật 1 ngày trước,19 tỷ,,,60 m²,"316,67 triệu/m²",Đã có sổ,8 phòng,6 phòng,Nội thất đầy đủ,,,,,,"Nhà ngõ, hẻm",4,,,,60 m²,,,,
2025-10-03T00:01:32.732976,Cập nhật 4 giờ trước,8 tỷ,,,35 m²,"228,57 triệu/m²",Đã có sổ,3 phòng,3 phòng,,,,Hẻm xe hơi Nhà nở hậu,,,"Nhà ngõ, hẻm",4,,,,35 m²,,,,
2025-10-03T00:01:33.626083,Cập nhật 6 ngày trước,"4,8 tỷ",,,55 m²,"87,27 triệu/m²",Đã có sổ,,,,Đất thổ cư,,Hẻm xe hơi Thổ cư toàn bộ,4 m,,,,,,,,,,,
2025-10-03T00:01:36.198473,Cập nhật 17 giờ trước,"23,8 tỷ",,,68 m²,350 triệu/m²,Đã có sổ,8 phòng,Nhiều hơn 6 phòng,,,,,,,Nhà phố liền kề,5,,,,,,,,
2025-10-03T00:01:37.777683,Cập nhật 6 ngày trước,28 tỷ,,,65 m²,"430,77 triệu/m²",Đã có sổ,5 phòng,4 phòng,,,,,5 m,20 m,Nhà phố liền kề,4,,,,100 m²,,,,
2025-10-03T00:01:42.810775,Cập nhật 12 giờ trước,"1,32 tỷ",,,60 m²,22 triệu/m²,Đã có sổ,,,,Đất thổ cư,,Nở hậu Thổ cư toàn bộ,4.18 m,18 m,,,,,m²,,,,,
2025-10-03T00:01:43.512451,Cập nhật 7 ngày trước,8 tỷ,,,35 m²,"228,57 triệu/m²",Đã có sổ,3 phòng,2 phòng,Hoàn thiện cơ bản,,Đông Bắc,Hẻm xe hơi,4 m,8 m,"Nhà ngõ, hẻm",3,,,,35 m²,,,,
2025-10-03T00:01:47.224866,Cập nhật 7 ngày trước,"6,5 tỷ",,,47 m²,"138,30 triệu/m²",Đã có sổ,5 phòng,5 phòng,Bàn giao thô,,,Hẻm xe hơi,4.4 m,,"Nhà ngõ, hẻm",1,,,,47 m²,,,,
2025-10-03T00:01:48.669024,Cập nhật 10 giờ trước,"2,58 tỷ",,,40 m²,"64,50 triệu/m²",Đã có sổ,3 phòng,2 phòng,,,Bắc,Hẻm xe hơi,4 m,10 m,"Nhà ngõ, hẻm",3,,,,120 m²,,,,
2025-10-03T00:01:52.919765,Cập nhật 6 ngày trước,"5,2 tỷ",,,39 m²,"133,33 triệu/m²",Đã có sổ,6 phòng,,,,,,3.8 m,,"Nhà mặt phố, mặt tiền",4,,,,,,,,
2025-10-03T00:01:53.223015,Cập nhật 7 ngày trước,8 tỷ,,,40 m²,200 triệu/m²,Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,,Tây Bắc,Hẻm xe hơi,4 m,10 m,"Nhà ngõ, hẻm",6,,,,240 m²,,,,
2025-10-03T00:01:56.555105,Cập nhật 3 ngày trước,8 tỷ,,,45 m²,"177,78 triệu/m²",Đã có sổ,3 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,45 m²,,,,
2025-10-03T00:02:02.035833,Cập nhật 8 ngày trước,"6,2 tỷ",,,35 m²,"177,14 triệu/m²",Đã có sổ,3 phòng,4 phòng,Hoàn thiện cơ bản,,,,,,"Nhà ngõ, hẻm",5,,,,,,,,
2025-10-03T00:02:02.454542,Cập nhật 6 ngày trước,"10,9 tỷ",,,44 m²,"247,73 triệu/m²",Đã có sổ,4 phòng,,Nội thất đầy đủ,,,Hẻm xe hơi Nhà nở hậu,5.2 m,,"Nhà ngõ, hẻm",4,,,,,,,,
2025-10-03T00:02:06.161708,Cập nhật 6 ngày trước,"3,5 tỷ",,,54 m²,"64,81 triệu/m²",Đã có sổ,,,,Đất thổ cư,,,,,,,,,m²,,,,,
2025-10-03T00:02:06.637123,Cập nhật 7 ngày trước,"6,6 tỷ",,,22 m²,300 triệu/m²,Đã có sổ,4 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-03T00:02:06.788029,Cập nhật 8 ngày trước,"6,1 tỷ",,,32 m²,"190,62 triệu/m²",Đã có sổ,4 phòng,5 phòng,Hoàn thiện cơ bản,,,Hẻm xe hơi,3.5 m,,"Nhà ngõ, hẻm",6,,,,32 m²,,,,
2025-10-03T00:02:14.206792,Cập nhật 5 ngày trước,"7,5 tỷ",,,58 m²,"129,31 triệu/m²",Đã có sổ,nhiều hơn 10 phòng,,Nội thất đầy đủ,,Đông Nam,,,,"Nhà ngõ, hẻm",5,,,,,,,,
2025-10-03T00:02:16.248424,Cập nhật 6 ngày trước,"13,25 tỷ",,,50 m²,265 triệu/m²,Đã có sổ,,,,Đất thổ cư,,,,,,,,,,,,,,
2025-10-03T00:02:17.041471,Cập nhật 7 ngày trước,"4,7 tỷ",Đã bàn giao,Chung cư,61 m²,"77,05 triệu/m²",Sổ hồng riêng,2 phòng,2 phòng,Nội thất đầy đủ,,,,,,,,,,,,Căn góc,,,
2025-10-03T00:02:17.629119,Cập nhật 6 ngày trước,"4,2 tỷ",Chưa bàn giao,"Tập thể, cư xá",48 m²,"87,50 triệu/m²",Sổ hồng riêng,3 phòng,2 phòng,Nội thất cao cấp,,,,,,,,,,,,,,,
2025-10-03T00:02:23.616639,Cập nhật 3 ngày trước,"20,2 tỷ",,,50 m²,404 triệu/m²,Đã có sổ,5 phòng,,Nội thất đầy đủ,,,,,,Nhà phố liền kề,,,,,,,,,
2025-10-03T00:02:28.143475,Cập nhật 15 giờ trước,"12,3 tỷ",,,41 m²,300 triệu/m²,Đã có sổ,4 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-03T00:02:26.338959,Cập nhật 7 ngày trước,"167,8 tỷ",,,250 m²,"671,20 triệu/m²",Đã có sổ,,,Nội thất cao cấp,,,,,,,,,,,,,Văn phòng,,
2025-10-03T00:02:33.680470,Cập nhật 8 ngày trước,"13,8 tỷ",,,44 m²,"313,64 triệu/m²",Đã có sổ,3 phòng,3 phòng,Nội thất đầy đủ,,,Hẻm xe hơi,,,"Nhà ngõ, hẻm",4,,,,,,,,
2025-10-03T00:02:37.828696,Cập nhật 8 ngày trước,"7,8 tỷ",,,38 m²,"205,26 triệu/m²",Đã có sổ,4 phòng,,Nội thất đầy đủ,,,Hiện trạng khác,,,"Nhà ngõ, hẻm",4,,,,,,,,
2025-10-03T00:02:38.057057,Cập nhật 8 ngày trước,"6,4 tỷ",,,34 m²,"188,24 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,,,Nhà nở hậu,,,"Nhà ngõ, hẻm",4,,8,,34 m²,,,,
2025-10-03T00:02:38.234500,Cập nhật 6 ngày trước,8 tỷ,,,38 m²,"210,53 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,,,,3.5 m,,"Nhà ngõ, hẻm",5,,,,,,,,
2025-10-03T00:02:42.944494,Cập nhật 7 ngày trước,"12,5 tỷ",,,65 m²,"192,31 triệu/m²",Đã có sổ,9 phòng,5 phòng,Nội thất cao cấp,,,Hẻm xe hơi,4.5 m,,"Nhà ngõ, hẻm",5,,,,65 m²,,,,
2025-10-03T00:02:46.616084,Cập nhật 7 ngày trước,7 tỷ,,,31 m²,"225,81 triệu/m²",Đã có sổ,4 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-03T00:02:46.726664,Cập nhật 8 ngày trước,"12,7 tỷ",,,40 m²,"317,50 triệu/m²",Đã có sổ,5 phòng,5 phòng,Nội thất đầy đủ,,,Hẻm xe hơi,3.1 m,,"Nhà mặt phố, mặt tiền",5,,,,40 m²,,,,
2025-10-03T00:02:47.852779,Cập nhật 7 ngày trước,3 tỷ,,,100 m²,30 triệu/m²,Đã có sổ,,,,Đất thổ cư,,Mặt tiền Hẻm xe hơi Nở hậu,,,,,,,m²,,,,,
2025-10-03T00:02:52.448882,Cập nhật 7 ngày trước,"5,65 tỷ",,,66 m²,"85,61 triệu/m²",Đã có sổ,,,,Đất thổ cư,Tây Bắc,Hẻm xe hơi Thổ cư toàn bộ,4 m,16 m,,,,,,,,,,
2025-10-03T00:02:56.398814,Cập nhật 7 ngày trước,18 tỷ,,,68 m²,"264,71 triệu/m²",Đã có sổ,5 phòng,5 phòng,Hoàn thiện cơ bản,,,Hẻm xe hơi,4.5 m,15 m,Nhà phố liền kề,5,,,,68 m²,,,,
2025-10-03T00:02:56.596607,Cập nhật 7 ngày trước,"6,5 tỷ",,,36 m²,"180,56 triệu/m²",Đã có sổ,4 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-03T00:02:58.762769,Cập nhật 7 ngày trước,"3,55 tỷ",,,45 m²,"78,89 triệu/m²",Đã có sổ,3 phòng,4 phòng,Hoàn thiện cơ bản,,,,4.5 m,10 m,Nhà phố liền kề,4,,,,160 m²,,,,
2025-10-03T00:03:03.817418,Cập nhật 8 ngày trước,"9,35 tỷ",,,36 m²,"259,72 triệu/m²",Đã có sổ,6 phòng,5 phòng,Nội thất đầy đủ,,,Hẻm xe hơi,3.3 m,,"Nhà ngõ, hẻm",5,,,,36 m²,,,,
2025-10-03T00:03:06.011700,Cập nhật 7 ngày trước,"6,5 tỷ",,,34 m²,"191,18 triệu/m²",Đã có sổ,3 phòng,4 phòng,,,,Nhà nở hậu,,,"Nhà ngõ, hẻm",5,,,,,,,,
2025-10-03T00:03:07.637745,Cập nhật 6 ngày trước,"8,6 tỷ",Đã bàn giao,Chung cư,123 m²,"69,92 triệu/m²",Sổ hồng riêng,3 phòng,3 phòng,,,,,,,,,,,,,Căn góc,,,
2025-10-03T00:03:08.775559,Cập nhật 8 ngày trước,"5,5 tỷ",,,55 m²,100 triệu/m²,Đã có sổ,8 phòng,,Nội thất đầy đủ,,,Nhà nở hậu,4 m,,"Nhà ngõ, hẻm",4,,,,55 m²,,,,
2025-10-03T00:03:12.690487,Cập nhật 7 ngày trước,8 tỷ,,,88 m²,"90,91 triệu/m²",Đã có sổ,,,,Đất thổ cư,Đông Nam,,,,,,,,m²,,,,,
2025-10-03T00:03:15.287559,Cập nhật 6 ngày trước,"7,2 tỷ",,,38 m²,"189,47 triệu/m²",Đã có sổ,3 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-03T00:03:15.500775,Cập nhật 7 ngày trước,"1,65 tỷ",,,81 m²,"20,37 triệu/m²",Đã có sổ,,,,Đất thổ cư,,,45 m,18 m,,,,,m²,,,,,
2025-10-03T00:03:17.794992,Cập nhật 8 ngày trước,"8,5 tỷ",,,49 m²,"173,47 triệu/m²",Đã có sổ,5 phòng,,,,,,,,"Nhà ngõ, hẻm",5,,,,,,,,
2025-10-03T00:03:18.189472,Cập nhật 7 ngày trước,15 tỷ,,,45 m²,"333,33 triệu/m²",Đã có sổ,4 phòng,,,,,,,,Nhà phố liền kề,,,,,,,,,
2025-10-03T00:03:22.753093,Cập nhật 8 ngày trước,"3,69 tỷ",,,33 m²,"111,82 triệu/m²",Không có sổ,4 phòng,3 phòng,,,,,,,"Nhà ngõ, hẻm",3,,,,,,,,
2025-10-03T00:03:25.230310,Cập nhật 6 ngày trước,5 tỷ,,,62.2 m²,"80,39 triệu/m²",Đã có sổ,,,,Đất thổ cư,,Mặt tiền Thổ cư toàn bộ,,,,,,,m²,,,,,
2025-10-03T00:03:26.898605,Cập nhật 8 ngày trước,180 tỷ,,,200 m²,900 triệu/m²,Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,Nội thất cao cấp,,,,,,Nhà biệt thự,5,,,,,,,,
2025-10-03T00:03:25.396141,Cập nhật 7 ngày trước,"15,5 tỷ",,,75 m²,"206,67 triệu/m²",Đã có sổ,3 phòng,2 phòng,,,,,6 m,,"Nhà ngõ, hẻm",4,,,,,,,,
2025-10-03T00:03:27.307924,Cập nhật 7 ngày trước,9 tỷ,Đã bàn giao,Chung cư,130 m²,"69,23 triệu/m²",Sổ hồng riêng,3 phòng,2 phòng,Nội thất cao cấp,,,,,,,,,,,,Căn góc,,,
2025-10-03T00:03:32.435207,Cập nhật 6 ngày trước,"3,9 tỷ",,,34 m²,"114,71 triệu/m²",Đã có sổ,4 phòng,3 phòng,Hoàn thiện cơ bản,,,,4 m,,"Nhà ngõ, hẻm",3,,,,34 m²,,,,
2025-10-03T00:03:36.331165,Cập nhật 4 ngày trước,"7,5 tỷ",,,30 m²,250 triệu/m²,Đã có sổ,3 phòng,4 phòng,Nội thất cao cấp,,Tây Bắc,Hẻm xe hơi Nhà nở hậu,6.4 m,,"Nhà ngõ, hẻm",5,,,,30 m²,,,,
2025-10-03T00:03:36.857537,Cập nhật 2 ngày trước,21 tỷ,,,55 m²,"381,82 triệu/m²",Đã có sổ,4 phòng,Nhiều hơn 6 phòng,,,,,,,"Nhà mặt phố, mặt tiền",6,,,,,,,,
2025-10-03T00:03:36.399052,Cập nhật 7 ngày trước,"17,7 tỷ",,,59 m²,300 triệu/m²,Đã có sổ,3 phòng,3 phòng,Hoàn thiện cơ bản,,,,3.8 m,,"Nhà mặt phố, mặt tiền",4,,,,59 m²,,,,
2025-10-03T00:03:35.688150,Cập nhật 8 ngày trước,"19,5 tỷ",,,110 m²,"177,27 triệu/m²",Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,Nội thất đầy đủ,,,Hiện trạng khác,7 m,,"Nhà ngõ, hẻm",5,,,,550 m²,,,,
2025-10-03T00:03:41.961923,Cập nhật 7 ngày trước,"27,4 tỷ",,,96 m²,"285,42 triệu/m²",Đã có sổ,5 phòng,,,,,,,,"Nhà mặt phố, mặt tiền",,,,,,,,,
2025-10-03T00:03:47.217571,Cập nhật 6 ngày trước,"5,2 tỷ",,,50 m²,104 triệu/m²,Đã có sổ,,,,Đất thổ cư,Nam,Hẻm xe hơi Thổ cư toàn bộ,4 m,12 m,,,,,,,,,,
2025-10-03T00:03:47.286890,Cập nhật 7 ngày trước,"7,9 tỷ",,,33 m²,"239,39 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,,,,3.5 m,9 m,"Nhà ngõ, hẻm",5,,,,33 m²,,,,
2025-10-03T00:03:47.568202,Cập nhật 6 ngày trước,"5,3 tỷ",,,55 m²,"96,36 triệu/m²",Đã có sổ,,,,Đất thổ cư,Bắc,Hẻm xe hơi Thổ cư toàn bộ,5 m,11 m,,,,,m²,,,,,
2025-10-03T00:03:49.653980,Cập nhật 6 ngày trước,"8,75 tỷ",,,40 m²,"218,75 triệu/m²",Đã có sổ,4 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-03T00:03:51.171485,Cập nhật 8 ngày trước,"7,8 tỷ",,,38 m²,"205,26 triệu/m²",Đã có sổ,3 phòng,4 phòng,,,,Hẻm xe hơi Nhà nở hậu,5 m,8 m,"Nhà mặt phố, mặt tiền",5,,,,300 m²,,,,
2025-10-03T00:03:57.727660,Cập nhật 7 ngày trước,"4,29 tỷ",,,25 m²,"171,60 triệu/m²",Đã có sổ,3 phòng,3 phòng,Nội thất đầy đủ,,,Nhà nở hậu,4 m,6.25 m,"Nhà ngõ, hẻm",5,,,,25 m²,,,,
2025-10-03T00:03:58.070016,Cập nhật 8 ngày trước,"12,5 tỷ",,,54 m²,"231,48 triệu/m²",Đã có sổ,3 phòng,4 phòng,,,,,4.5 m,12 m,"Nhà ngõ, hẻm",4,,,,,,,,
2025-10-03T00:03:58.224577,Cập nhật 5 ngày trước,"7,86 tỷ",,,31 m²,"253,55 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,,,Hiện trạng khác,6 m,5 m,"Nhà ngõ, hẻm",5,,,,,,,,
2025-10-03T00:04:00.356198,Cập nhật 7 ngày trước,"6,29 tỷ",,,69 m²,"91,16 triệu/m²",Đã có sổ,,,,Đất thổ cư,Đông,Mặt tiền Hẻm xe hơi Thổ cư toàn bộ,4 m,17 m,,,,,m²,,,,,
2025-10-03T00:04:02.401721,Cập nhật 7 ngày trước,"7,35 tỷ",,,38 m²,"193,42 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,,,Hẻm xe hơi Nhà nở hậu,,,"Nhà ngõ, hẻm",5,,,,38 m²,,,,
2025-10-03T00:04:08.069470,Cập nhật 3 ngày trước,"1,503 tỷ",,,104 m²,"14,46 triệu/m²",Đã có sổ,,,,Đất thổ cư,,Nở hậu Thổ cư toàn bộ Hẻm xe hơi Mặt tiền,,,,,,,,,,,,
2025-10-03T00:04:08.186675,Cập nhật 7 ngày trước,"3,6 tỷ",,,55 m²,"65,45 triệu/m²",Đã có sổ,,,,Đất thổ cư,,,,,,,,,m²,,,,,
2025-10-03T00:04:08.162676,Cập nhật 8 ngày trước,"3,8 tỷ",,,40 m²,95 triệu/m²,Đã có sổ,4 phòng,,,,,,,,"Nhà ngõ, hẻm",4,,,,,,,,
2025-10-03T00:04:12.025345,Cập nhật 8 ngày trước,"7,5 tỷ",,,45 m²,"166,67 triệu/m²",Đã có sổ,4 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-03T00:04:17.788571,Cập nhật 7 ngày trước,"6,9 tỷ",,,37 m²,"186,49 triệu/m²",Đã có sổ,3 phòng,,,,,Hẻm xe hơi,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-03T00:04:18.035758,Cập nhật 6 ngày trước,"10,5 tỷ",,,72 m²,"145,83 triệu/m²",Đã có sổ,2 phòng,2 phòng,Hoàn thiện cơ bản,,Nam,Hẻm xe hơi Nhà nở hậu,10 m,7 m,"Nhà mặt phố, mặt tiền",2,,,,75 m²,,,,
2025-10-03T00:04:18.842353,Cập nhật 6 ngày trước,"5,7 tỷ",,,36 m²,"158,33 triệu/m²",Đã có sổ,,,,Đất thổ cư,Đông Nam,Mặt tiền Hẻm xe hơi,4 m,,,,,,m²,,,,,
2025-10-03T00:04:19.371661,Cập nhật 4 ngày trước,"4,65 tỷ",Đã bàn giao,"Tập thể, cư xá",75 m²,62 triệu/m²,Sổ hồng riêng,2 phòng,1 phòng,Nội thất cao cấp,,Nam,,,,,,,,,,Căn góc,,,3
2025-10-03T00:04:22.773453,Cập nhật 8 ngày trước,7 tỷ,,,33 m²,"212,12 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,,Đông Nam,Hẻm xe hơi,3.8 m,,"Nhà ngõ, hẻm",5,,,,33 m²,,,,
2025-10-03T00:04:29.358075,Cập nhật 8 ngày trước,"6,25 tỷ",,,38 m²,"164,47 triệu/m²",Đã có sổ,3 phòng,3 phòng,Nội thất đầy đủ,,,Nhà nở hậu,4.1 m,,"Nhà ngõ, hẻm",3,,,,38 m²,,,,
2025-10-03T00:04:29.662782,Cập nhật 5 ngày trước,"7,65 tỷ",,,56 m²,"136,61 triệu/m²",Đã có sổ,4 phòng,,,,,,,,"Nhà mặt phố, mặt tiền",,,,,,,,,
2025-10-03T00:04:30.490708,Cập nhật 8 ngày trước,"32,5 tỷ",,,360 m²,"90,28 triệu/m²",Đã có sổ,10 phòng,6 phòng,Nội thất đầy đủ,,,,12 m,,"Nhà mặt phố, mặt tiền",3,,,,360 m²,,,,
2025-10-03T00:04:33.199947,Cập nhật 8 ngày trước,15 tỷ,Chưa bàn giao,"Căn hộ dịch vụ, mini",60 m²,250 triệu/m²,Sổ hồng riêng,9 phòng,,,,,,,,,,,,,,,,,
2025-10-03T00:04:41.294788,Cập nhật 6 ngày trước,"7,95 tỷ",,,45 m²,"176,67 triệu/m²",Đã có sổ,6 phòng,5 phòng,Nội thất đầy đủ,,,Hẻm xe hơi Nhà nở hậu,,,"Nhà ngõ, hẻm",5,,,,45 m²,,,,
2025-10-03T00:04:41.576399,Cập nhật 8 ngày trước,"19,9 tỷ",,,103 m²,"193,20 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,,,Hẻm xe hơi Nhà nở hậu,4.2 m,22 m,"Nhà ngõ, hẻm",3,,,,,,,,
2025-10-03T00:04:41.945993,Cập nhật 8 ngày trước,"4,6 tỷ",,,46 m²,100 triệu/m²,Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,,,,4 m,11.5 m,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-03T00:04:42.781739,Cập nhật 8 ngày trước,14 tỷ,,,38 m²,"368,42 triệu/m²",Đã có sổ,5 phòng,,Hoàn thiện cơ bản,,,,4 m,,"Nhà mặt phố, mặt tiền",5,,,,45 m²,,,,
2025-10-03T00:04:52.131630,Cập nhật 6 ngày trước,"7,29 tỷ",,,35 m²,"208,29 triệu/m²",Đã có sổ,4 phòng,3 phòng,Nội thất đầy đủ,,,Hẻm xe hơi,3.8 m,,"Nhà ngõ, hẻm",4,,,,,,,,
2025-10-03T00:04:52.996955,Cập nhật 7 ngày trước,"4,35 tỷ",Đã bàn giao,Chung cư,76 m²,"57,24 triệu/m²",Sổ hồng riêng,2 phòng,2 phòng,,,,,,,,,,,,,,,,
2025-10-03T00:04:53.422591,Cập nhật 6 ngày trước,"7,9 tỷ",,,45 m²,"175,56 triệu/m²",Đã có sổ,3 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-03T00:05:00.385320,Cập nhật 6 ngày trước,"4,95 tỷ",,,23 m²,"215,22 triệu/m²",Đã có sổ,3 phòng,3 phòng,Nội thất đầy đủ,,,Nhà nở hậu,3 m,7.7 m,"Nhà ngõ, hẻm",4,,3,,23 m²,,,,
2025-10-03T00:05:00.576217,Cập nhật 8 ngày trước,"6,8 tỷ",,,36 m²,"188,89 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,,,Nhà nở hậu,,,"Nhà ngõ, hẻm",4,,,,,,,,
2025-10-03T00:05:02.964118,Cập nhật 6 ngày trước,"7,9 tỷ",,,36 m²,"219,44 triệu/m²",Đã có sổ,4 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-03T00:05:03.541649,Cập nhật 6 ngày trước,"6,8 tỷ",,,30 m²,"226,67 triệu/m²",Đã có sổ,3 phòng,4 phòng,Hoàn thiện cơ bản,,,,,,"Nhà ngõ, hẻm",4,,,,,,,,
2025-10-03T00:05:04.802130,Cập nhật 7 ngày trước,"14,4 tỷ",,,46 m²,"313,04 triệu/m²",Đã có sổ,4 phòng,5 phòng,Hoàn thiện cơ bản,,,Nhà nở hậu Hẻm xe hơi,,,"Nhà mặt phố, mặt tiền",5,,,,46 m²,,,,
2025-10-03T00:05:10.465688,Cập nhật 5 ngày trước,"9,3 tỷ",,,48 m²,"193,75 triệu/m²",Đã có sổ,9 phòng,Nhiều hơn 6 phòng,Nội thất đầy đủ,,,Nhà nở hậu,4 m,12 m,"Nhà ngõ, hẻm",5,,,,48 m²,,,,
2025-10-03T00:05:10.555839,Cập nhật 4 ngày trước,"6,75 tỷ",,,36 m²,"187,50 triệu/m²",Đã có sổ,4 phòng,3 phòng,,,,,6 m,,"Nhà ngõ, hẻm",4,,,,36 m²,,,,
2025-10-03T00:05:12.310846,Cập nhật 6 ngày trước,"9,25 tỷ",,,43 m²,"215,12 triệu/m²",Đã có sổ,4 phòng,5 phòng,,,,Nhà nở hậu,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-03T00:05:14.245120,Cập nhật 7 ngày trước,"4,65 tỷ",,,21 m²,"221,43 triệu/m²",Đã có sổ,3 phòng,3 phòng,,,,,,,"Nhà ngõ, hẻm",4,,,,21 m²,,,,
2025-10-03T00:05:19.447529,Cập nhật 8 ngày trước,"45,5 tỷ",,,180 m²,"252,78 triệu/m²",Đã có sổ,8 phòng,5 phòng,,,,Hẻm xe hơi,10 m,18 m,Nhà biệt thự,4,,,,720 m²,,,,
2025-10-03T00:05:19.574672,Cập nhật 4 ngày trước,"3,9 tỷ",,,34 m²,"114,71 triệu/m²",Đã có sổ,4 phòng,,,,,,4 m,,"Nhà ngõ, hẻm",3,,,,34 m²,,,,
2025-10-03T00:05:21.163126,Cập nhật 8 ngày trước,"3,6 tỷ",,,18 m²,200 triệu/m²,Đã có sổ,2 phòng,2 phòng,Nội thất đầy đủ,,,Hẻm xe hơi Nhà nở hậu,3.3 m,,"Nhà ngõ, hẻm",3,,,,18 m²,,,,
2025-10-03T00:05:22.993084,Cập nhật 6 ngày trước,"26,5 tỷ",,,70 m²,"378,57 triệu/m²",Đã có sổ,4 phòng,4 phòng,,,,Hẻm xe hơi,6.3 m,,Nhà phố liền kề,4,,,,,,,,
2025-10-03T00:05:24.414335,Cập nhật 8 ngày trước,3 tỷ,,,80 m²,"37,50 triệu/m²",Đã có sổ,2 phòng,1 phòng,,,,,5.2 m,15.5 m,"Nhà ngõ, hẻm",,,,,80 m²,,,,
2025-10-03T00:05:29.501533,Cập nhật 6 ngày trước,"7,35 tỷ",,,52 m²,"141,35 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,,,Hẻm xe hơi,5.4 m,9.6 m,"Nhà ngõ, hẻm",5,,,,30 m²,,,,
2025-10-03T00:05:29.849649,Cập nhật 8 ngày trước,20 tỷ,,,60 m²,"333,33 triệu/m²",Đã có sổ,4 phòng,4 phòng,Bàn giao thô,,,Hẻm xe hơi,4.5 m,13.3 m,"Nhà ngõ, hẻm",4,,,,60 m²,,,,
2025-10-03T00:05:30.489302,Cập nhật 7 ngày trước,"15,5 tỷ",,,52 m²,"298,08 triệu/m²",Đã có sổ,4 phòng,,Nội thất cao cấp,,,Nhà nở hậu,,,"Nhà ngõ, hẻm",,,,,52 m²,,,,
2025-10-03T00:05:33.663465,Cập nhật 6 ngày trước,9 tỷ,,,104 m²,"86,54 triệu/m²",Đã có sổ,,,,Đất thổ cư,,Mặt tiền Nở hậu Hẻm xe hơi,,,,,,,m²,,,,,
2025-10-03T00:05:35.153604,Cập nhật 7 ngày trước,"14,8 tỷ",,,49 m²,"302,04 triệu/m²",Đã có sổ,4 phòng,5 phòng,Nội thất đầy đủ,,,,5 m,,"Nhà ngõ, hẻm",6,,,,50 m²,,,,
