now,published_at,price,house_type,size,price_m2,property_legal_document,rooms,toilets,furnishing_sell,floors,property_status,apartment_type,floornumber,land_type,pty_characteristics,width,length,block,size_unit,living_size,unitnumber,commercial_type,direction,apartment_feature,balconydirection
2025-10-04T00:14:39.018380,Cập nhật 7 ngày trước,"1,8 tỷ","Nhà mặt phố, mặt tiền",34 m²,"52,94 triệu/m²",Không có sổ,1 phòng,1 phòng,Hoàn thiện cơ bản,1,,,,,Hẻm xe hơi Nhà nát,4 m,8.5 m,,,42 m²,,,Đông Bắc,,
2025-10-04T00:14:43.367613,Cập nhật 8 ngày trước,"17,9 tỷ","Nhà mặt phố, mặt tiền",47 m²,"380,85 triệu/m²",Đã có sổ,4 phòng,,,4,,,,,,,,,,,,,,,
2025-10-04T00:14:43.424186,Cập nhật 8 ngày trước,"8,3 tỷ","Nhà ngõ, hẻm",32 m²,"259,38 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,6,,,,,Hẻm xe hơi,4 m,,,,32 m²,,,Đông Bắc,,
2025-10-04T00:14:47.393918,Cập nhật 8 ngày trước,"6,85 tỷ","Nhà mặt phố, mặt tiền",35 m²,"195,71 triệu/m²",Đã có sổ,5 phòng,,,,,,,,Nhà nở hậu,,,,,,,,,,
2025-10-04T00:14:51.646869,Cập nhật 4 giờ trước,"8,25 tỷ","Nhà ngõ, hẻm",35 m²,"235,71 triệu/m²",Đã có sổ,4 phòng,3 phòng,Nội thất cao cấp,5,,,,,Nhà nở hậu,,,,,35 m²,,,,,
2025-10-04T00:14:52.910764,Cập nhật 8 ngày trước,"7,5 tỷ","Nhà ngõ, hẻm",38 m²,"197,37 triệu/m²",Đã có sổ,3 phòng,,,,,,,,,,,,,,,,,,
2025-10-04T00:14:52.000723,Cập nhật 8 ngày trước,"9,4 tỷ","Nhà ngõ, hẻm",45 m²,"208,89 triệu/m²",Đã có sổ,4 phòng,3 phòng,Nội thất cao cấp,4,,,,,Nhà nở hậu Hẻm xe hơi,4.5 m,10 m,,,45 m²,,,,,
2025-10-04T00:14:55.768020,Cập nhật 8 ngày trước,"7,35 tỷ",,100 m²,"73,50 triệu/m²",Đã có sổ,,,,,,,,Đất thổ cư,Thổ cư toàn bộ,,,,m²,,,,Tây Nam,,
2025-10-04T00:14:57.241115,Cập nhật 9 ngày trước,"7,75 tỷ","Nhà ngõ, hẻm",45 m²,"172,22 triệu/m²",Đã có sổ,3 phòng,,Nội thất đầy đủ,3,,,,,,5 m,,,,,,,,,
2025-10-04T00:15:01.203585,Cập nhật 7 ngày trước,7 tỷ,"Nhà ngõ, hẻm",32 m²,"218,75 triệu/m²",Đã có sổ,4 phòng,5 phòng,,5,,,,,Nhà nở hậu Hẻm xe hơi,,,,,,,,Đông Bắc,,
2025-10-04T00:15:02.006472,Cập nhật 7 ngày trước,"4,75 tỷ","Nhà ngõ, hẻm",33 m²,"143,94 triệu/m²",Đã có sổ,3 phòng,,Hoàn thiện cơ bản,5,,,,,,6 m,,,,33 m²,,,,,
2025-10-04T00:15:04.728769,Cập nhật 7 ngày trước,"3,8 tỷ",,60 m²,"63,33 triệu/m²",Sổ hồng riêng,2 phòng,2 phòng,Nội thất cao cấp,,Chưa bàn giao,Chung cư,,,,,,,,,,,,,
2025-10-04T00:15:05.542976,Cập nhật 7 ngày trước,"23,19 tỷ","Nhà ngõ, hẻm",73 m²,"317,67 triệu/m²",Đã có sổ,5 phòng,6 phòng,,7,,,,,Hẻm xe hơi,6 m,,,,73 m²,,,,,
2025-10-04T00:15:08.751111,Cập nhật 7 ngày trước,15 tỷ,"Nhà ngõ, hẻm",58 m²,"258,62 triệu/m²",Đã có sổ,6 phòng,,,,,,,,Hẻm xe hơi,,,,,,,,,,
2025-10-04T00:15:09.542490,Cập nhật 7 ngày trước,"13,5 tỷ","Nhà mặt phố, mặt tiền",32 m²,"421,88 triệu/m²",Đã có sổ,2 phòng,3 phòng,Hoàn thiện cơ bản,4,,,,,Hẻm xe hơi,3.2 m,,,,110 m²,,,,,
2025-10-04T00:15:12.924159,Cập nhật 1 ngày trước,"5,45 tỷ","Nhà ngõ, hẻm",50 m²,109 triệu/m²,Đã có sổ,2 phòng,,,2,,,,,Hẻm xe hơi,,,,,,,,,,
2025-10-04T00:15:14.642662,Cập nhật 9 ngày trước,"7,5 tỷ","Nhà mặt phố, mặt tiền",38 m²,"197,37 triệu/m²",Đã có sổ,3 phòng,,Hoàn thiện cơ bản,6,,,,,,4 m,,,,38 m²,,,,,
