now,published_at,price,house_type,size,price_m2,property_legal_document,rooms,toilets,furnishing_sell,floors,property_status,apartment_type,floornumber,land_type,pty_characteristics,width,length,block,size_unit,living_size,unitnumber,commercial_type,direction,apartment_feature,balconydirection
2025-10-04T00:17:15.663162,Cập nhật 9 ngày trước,"6,59 tỷ","Nhà ngõ, hẻm",35 m²,"188,29 triệu/m²",Đã có sổ,4 phòng,4 phòng,,5,,,,,,3 m,,,,35 m²,,,Tây,,
2025-10-04T00:17:20.376479,Cập nhật 7 ngày trước,"4,85 tỷ","Nhà ngõ, hẻm",33 m²,"146,97 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,,
2025-10-04T00:17:20.786750,Cập nhật 10 giờ trước,"7,98 tỷ","Nhà ngõ, hẻm",30 m²,266 triệu/m²,Đã có sổ,3 phòng,4 phòng,Nội thất cao cấp,5,,,,,,3.1 m,9.1 m,,,30 m²,,,Tây,,
2025-10-04T00:17:23.050920,Cập nhật 6 ngày trước,21 tỷ,"Nhà mặt phố, mặt tiền",82 m²,"256,10 triệu/m²",Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,,7,,,,,,,,,,,,,,,
2025-10-04T00:17:25.007926,Cập nhật 8 ngày trước,"7,2 tỷ","Nhà ngõ, hẻm",35 m²,"205,71 triệu/m²",Đã có sổ,3 phòng,,,,,,,,,,,,,,,,,,
2025-10-04T00:17:26.756094,Cập nhật 2 ngày trước,"6,5 tỷ","Nhà ngõ, hẻm",30 m²,"216,67 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất cao cấp,5,,,,,Nhà nở hậu,3.5 m,,,,30 m²,,,,,
2025-10-04T00:17:28.580467,Cập nhật 7 ngày trước,"8,85 tỷ","Nhà ngõ, hẻm",45 m²,"196,67 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,,
2025-10-04T00:17:28.517412,Cập nhật 1 ngày trước,"9,9 tỷ","Nhà ngõ, hẻm",68 m²,"145,59 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất cao cấp,3,,,,,,4 m,17 m,,,500 m²,,,,,
2025-10-04T00:17:30.743737,Cập nhật 8 ngày trước,"5,25 tỷ",,120 m²,"43,75 triệu/m²",Sổ hồng riêng,4 phòng,2 phòng,,,Chưa bàn giao,"Tập thể, cư xá",,,,,,,,,,,,,
2025-10-04T00:17:32.661467,Cập nhật 8 ngày trước,8 tỷ,"Nhà ngõ, hẻm",38 m²,"210,53 triệu/m²",Đã có sổ,4 phòng,,Nội thất đầy đủ,,,,,,Hẻm xe hơi Nhà nở hậu,,,,,,,,,,
2025-10-04T00:17:34.428455,Cập nhật 8 ngày trước,"7,7 tỷ",,60 m²,"128,33 triệu/m²",Đã có sổ,,,,,,,,Đất thổ cư,,,,,m²,,,,,,
2025-10-04T00:17:36.718278,Cập nhật 9 ngày trước,"8,3 tỷ",,97 m²,"85,57 triệu/m²",Sổ hồng riêng,3 phòng,,,,Đã bàn giao,Chung cư,,,,,,,,,,,,,
2025-10-04T00:17:36.703267,Cập nhật 9 giờ trước,"13,98 tỷ",,50 m²,"279,60 triệu/m²",Sổ hồng riêng,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,Nội thất đầy đủ,,Đã bàn giao,"Căn hộ dịch vụ, mini",,,,,,,,,,,,,
2025-10-04T00:17:38.564285,Cập nhật 9 ngày trước,"6,8 tỷ","Nhà ngõ, hẻm",47 m²,"144,68 triệu/m²",Đã có sổ,4 phòng,3 phòng,Nội thất đầy đủ,4,,,,,Nhà nở hậu,6 m,7.75 m,,,47 m²,,,Tây Nam,,
2025-10-04T00:17:40.213003,Cập nhật 5 ngày trước,"4,85 tỷ","Nhà ngõ, hẻm",32 m²,"151,56 triệu/m²",Đã có sổ,4 phòng,4 phòng,Hoàn thiện cơ bản,5,,,,,,3.5 m,,,,140 m²,,,,,
2025-10-04T00:17:42.602747,Cập nhật 11 giờ trước,"10,8 tỷ","Nhà ngõ, hẻm",56 m²,"192,86 triệu/m²",Đã có sổ,10 phòng,,Nội thất đầy đủ,,,,,,,,,,,,,,,,
2025-10-04T00:17:44.569334,Cập nhật 8 ngày trước,"7,9 tỷ","Nhà ngõ, hẻm",31 m²,"254,84 triệu/m²",Đã có sổ,3 phòng,,,5,,,,,,,,,,,,,,,
2025-10-04T00:17:45.535002,Cập nhật 9 ngày trước,"14,5 tỷ",Nhà phố liền kề,42 m²,"345,24 triệu/m²",Đã có sổ,4 phòng,,,6,,,,,Hẻm xe hơi,,,,,,,,,,
2025-10-04T00:17:46.475535,Cập nhật 7 ngày trước,"6,25 tỷ","Nhà ngõ, hẻm",34 m²,"183,82 triệu/m²",Đã có sổ,3 phòng,,,,,,,,,,,,,34 m²,,,,,
2025-10-04T00:17:48.014021,Cập nhật 7 ngày trước,"8,1 tỷ","Nhà ngõ, hẻm",48 m²,"168,75 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,4,,,,,,,,,,,,,,,
2025-10-04T00:17:50.452072,Cập nhật 9 ngày trước,"7,1 tỷ","Nhà ngõ, hẻm",39 m²,"182,05 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,,
2025-10-04T00:17:52.527539,Cập nhật 8 ngày trước,"7,5 tỷ","Nhà ngõ, hẻm",46 m²,"163,04 triệu/m²",Đã có sổ,4 phòng,,Nội thất đầy đủ,,,,,,,,,,,,,,,,
2025-10-04T00:17:54.005466,Cập nhật 7 ngày trước,"9,1 tỷ",,45 m²,"202,22 triệu/m²",Đã có sổ,,,,,,,,Đất thổ cư,Nở hậu,,,,m²,,,,,,
2025-10-04T00:17:55.375282,Cập nhật 7 ngày trước,"4,08 tỷ",,600 m²,"6,80 triệu/m²",Đã có sổ,,,,,,,,Đất thổ cư,Mặt tiền Thổ cư 1 phần,16 m,36 m,,m²,,,,,,
2025-10-04T00:17:56.334064,Cập nhật 8 ngày trước,"15,3 tỷ",Nhà phố liền kề,62 m²,"246,77 triệu/m²",Đã có sổ,5 phòng,4 phòng,Nội thất cao cấp,5,,,,,,,,,,,,,,,
2025-10-04T00:17:58.093716,Cập nhật 7 ngày trước,"9,1 tỷ",,100 m²,91 triệu/m²,Đã có sổ,,,,,,,,Đất thổ cư,,,,,,,,,,,
2025-10-04T00:18:02.175057,Cập nhật 8 ngày trước,"8,29 tỷ","Nhà ngõ, hẻm",41 m²,"202,20 triệu/m²",Đã có sổ,3 phòng,5 phòng,Nội thất cao cấp,5,,,,,Nhà nở hậu Hiện trạng khác,4.5 m,9 m,,,41 m²,,,,,
2025-10-04T00:18:03.310124,Cập nhật 7 ngày trước,"6,9 tỷ","Nhà ngõ, hẻm",38 m²,"181,58 triệu/m²",Đã có sổ,4 phòng,,Nội thất đầy đủ,,,,,,,,,,,,,,,,
2025-10-04T00:18:04.731099,Cập nhật 8 ngày trước,"6,5 tỷ","Nhà mặt phố, mặt tiền",40 m²,"162,50 triệu/m²",Đã có sổ,5 phòng,,,,,,,,Nhà nở hậu,,,,,,,,,,
2025-10-04T00:18:06.323059,Cập nhật 8 ngày trước,22 tỷ,"Nhà mặt phố, mặt tiền",57 m²,"385,96 triệu/m²",Đã có sổ,4 phòng,,Nội thất đầy đủ,4,,,,,Nhà nở hậu,4.4 m,13 m,,,228 m²,,,,,
2025-10-04T00:18:08.499924,Cập nhật 8 ngày trước,"18,3 tỷ","Nhà mặt phố, mặt tiền",45 m²,"406,67 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,,
2025-10-04T00:18:09.537576,Cập nhật 9 ngày trước,7 tỷ,"Nhà ngõ, hẻm",35 m²,200 triệu/m²,Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,4,,,,,Nhà nở hậu Hẻm xe hơi,3.4 m,,,,35 m²,,,,,
2025-10-04T00:18:11.202336,Cập nhật 7 ngày trước,"4,85 tỷ","Nhà ngõ, hẻm",30 m²,"161,67 triệu/m²",Đã có sổ,3 phòng,3 phòng,Nội thất đầy đủ,5,,,,,,,,,,34 m²,,,Đông Bắc,,
2025-10-04T00:18:14.845281,Cập nhật 9 ngày trước,72 tỷ,"Nhà mặt phố, mặt tiền",90 m²,800 triệu/m²,Đã có sổ,4 phòng,,,,,,,,,,,,,90 m²,,,,,
2025-10-04T00:18:17.323956,Cập nhật 8 ngày trước,"7,5 tỷ","Nhà ngõ, hẻm",38 m²,"197,37 triệu/m²",Đã có sổ,3 phòng,,,4,,,,,,,,,,,,,,,
2025-10-04T00:18:17.442270,Cập nhật 9 ngày trước,"4,5 tỷ","Nhà ngõ, hẻm",37 m²,"121,62 triệu/m²",Không có sổ,2 phòng,2 phòng,,3,,,,,,,,,,,,,,,
2025-10-04T00:18:19.719646,Cập nhật 8 ngày trước,"9,3 tỷ","Nhà ngõ, hẻm",42 m²,"221,43 triệu/m²",Đã có sổ,6 phòng,,,,,,,,,,,,,,,,,,
2025-10-04T00:18:21.337186,Cập nhật 8 ngày trước,"7,3 tỷ","Nhà ngõ, hẻm",45 m²,"162,22 triệu/m²",Đã có sổ,6 phòng,5 phòng,Nội thất đầy đủ,5,,,,,Nhà nở hậu,,,,,,,,,,
2025-10-04T00:18:22.713661,Cập nhật 8 ngày trước,"8,2 tỷ","Nhà ngõ, hẻm",32 m²,"256,25 triệu/m²",Đã có sổ,4 phòng,5 phòng,Nội thất cao cấp,5,,,,,Nhà nở hậu,3.8 m,,,,32 m²,,,,,
2025-10-04T00:18:25.730766,Cập nhật 8 ngày trước,"7,2 tỷ","Nhà ngõ, hẻm",40 m²,180 triệu/m²,Đã có sổ,3 phòng,,,,,,,,,,,,,,,,,,
2025-10-04T00:18:25.705632,Cập nhật 7 ngày trước,"13,46 tỷ","Nhà mặt phố, mặt tiền",63 m²,"213,65 triệu/m²",Đã có sổ,2 phòng,1 phòng,Hoàn thiện cơ bản,1,,,,,,5.8 m,,,,63 m²,,,,,
2025-10-04T00:18:27.619843,Cập nhật 8 ngày trước,"12,1 tỷ","Nhà ngõ, hẻm",39 m²,"310,26 triệu/m²",Đã có sổ,3 phòng,6 phòng,Nội thất cao cấp,6,,,,,,,,,,234 m²,,,,,
2025-10-04T00:18:29.629980,Cập nhật 3 ngày trước,38 tỷ,"Nhà ngõ, hẻm",86 m²,"441,86 triệu/m²",Đã có sổ,8 phòng,4 phòng,Nội thất đầy đủ,4,,,,,Hẻm xe hơi,8.3 m,,,,300 m²,,,,,
2025-10-04T00:18:34.277715,Cập nhật 7 ngày trước,12 tỷ,"Nhà ngõ, hẻm",40 m²,300 triệu/m²,Đã có sổ,4 phòng,,Nội thất cao cấp,6,,,,,Hẻm xe hơi,,,,,40 m²,,,,,
2025-10-04T00:18:34.419542,Cập nhật 7 ngày trước,"5,25 tỷ","Nhà ngõ, hẻm",25 m²,210 triệu/m²,Đã có sổ,3 phòng,,Nội thất đầy đủ,5,,,,,,,,,,,,,,,
2025-10-04T00:18:35.367528,Cập nhật 7 ngày trước,"8,1 tỷ","Nhà ngõ, hẻm",37 m²,"218,92 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,,,,,,,3.5 m,,,,,,,,,
2025-10-04T00:18:38.396046,Cập nhật 9 ngày trước,"5,85 tỷ",,67 m²,"87,31 triệu/m²",Đã có sổ,,,,,,,,Đất thổ cư,Hẻm xe hơi Thổ cư toàn bộ,4 m,16 m,,,,,,Nam,,
2025-10-04T00:18:42.787190,Cập nhật 7 ngày trước,"7,8 tỷ","Nhà mặt phố, mặt tiền",33 m²,"236,36 triệu/m²",Đã có sổ,3 phòng,3 phòng,Nội thất đầy đủ,3,,,,,Hẻm xe hơi Nhà nở hậu,4 m,,,,33 m²,,,,,
2025-10-04T00:18:42.948873,Cập nhật 6 ngày trước,"4,6 tỷ","Nhà ngõ, hẻm",33 m²,"139,39 triệu/m²",Đã có sổ,3 phòng,4 phòng,Hoàn thiện cơ bản,5,,,,,,3.3 m,10 m,,,,,,,,
2025-10-04T00:18:43.667308,Cập nhật 8 ngày trước,"6,45 tỷ","Nhà ngõ, hẻm",23 m²,"280,43 triệu/m²",Đã có sổ,3 phòng,3 phòng,Nội thất cao cấp,5,,,,,,3.3 m,,,,23 m²,,,,,
2025-10-04T00:18:46.936071,Cập nhật 9 ngày trước,"3,45 tỷ",,59 m²,"58,47 triệu/m²",Đã có sổ,,,,,,,,Đất thổ cư,,6 m,9 m,,m²,,,,,,
2025-10-04T00:18:50.796857,Cập nhật 8 ngày trước,9 tỷ,"Nhà ngõ, hẻm",42 m²,"214,29 triệu/m²",Đã có sổ,4 phòng,,Nội thất cao cấp,6,,,,,,,,,,,,,,,
2025-10-04T00:18:52.872501,Cập nhật 8 ngày trước,9 tỷ,"Nhà ngõ, hẻm",48 m²,"187,50 triệu/m²",Đã có sổ,9 phòng,,Nội thất đầy đủ,5,,,,,Hiện trạng khác,,,,,48 m²,,,,,
2025-10-04T00:18:56.741655,Cập nhật 8 ngày trước,"2,5 tỷ",,100 m²,25 triệu/m²,Đã có sổ,,,,,,,,Đất thổ cư,Mặt tiền Hẻm xe hơi Thổ cư toàn bộ Nở hậu,5 m,20 m,,m²,,,,,,
2025-10-04T00:18:59.070622,Cập nhật 8 ngày trước,25 tỷ,"Nhà ngõ, hẻm",109 m²,"229,36 triệu/m²",Đã có sổ,3 phòng,3 phòng,Nội thất đầy đủ,4,,,,,Hẻm xe hơi,6.5 m,,,,436 m²,,,,,
2025-10-04T00:19:02.348378,Cập nhật 8 ngày trước,"8,45 tỷ","Nhà ngõ, hẻm",35 m²,"241,43 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,5,,,,,Nhà nở hậu,,,,,35 m²,,,,,
2025-10-04T00:19:02.010056,Cập nhật 8 ngày trước,"7,2 tỷ","Nhà ngõ, hẻm",42 m²,"171,43 triệu/m²",Đã có sổ,5 phòng,5 phòng,Nội thất đầy đủ,5,,,,,Hiện trạng khác,4.2 m,,,,42 m²,,,,,
2025-10-04T00:19:05.332813,Cập nhật 9 ngày trước,"13,9 tỷ","Nhà ngõ, hẻm",48 m²,"289,58 triệu/m²",Đã có sổ,2 phòng,2 phòng,,3,,,,,,,,,,,,,,,
2025-10-04T00:19:06.707033,Cập nhật 9 ngày trước,6 tỷ,"Nhà ngõ, hẻm",100 m²,60 triệu/m²,Đã có sổ,2 phòng,2 phòng,Hoàn thiện cơ bản,,,,,,Hẻm xe hơi,5 m,20 m,,,100 m²,,,Nam,,
2025-10-04T00:19:06.919266,Cập nhật 9 ngày trước,"5,7 tỷ","Nhà ngõ, hẻm",83 m²,"68,67 triệu/m²",Đã có sổ,4 phòng,3 phòng,Hoàn thiện cơ bản,3,,,,,Nhà nở hậu,57 m,,,,,,,,,
2025-10-04T00:19:10.834071,Cập nhật 7 ngày trước,"5,5 tỷ",,63 m²,"87,30 triệu/m²",Đã có sổ,,,,,,,,Đất thổ cư,Nở hậu Mặt tiền,5.3 m,12 m,,m²,,,,,,
2025-10-04T00:19:13.113453,Cập nhật 8 ngày trước,"19,7 tỷ","Nhà ngõ, hẻm",78 m²,"252,56 triệu/m²",Đã có sổ,4 phòng,,Nội thất đầy đủ,4,,,,,Nhà nở hậu,4.7 m,17 m,,,312 m²,,,,,
2025-10-04T00:19:15.206898,Cập nhật 8 ngày trước,12 tỷ,"Nhà ngõ, hẻm",41 m²,"292,68 triệu/m²",Đã có sổ,4 phòng,,Nội thất đầy đủ,,,,,,Hẻm xe hơi,,,,,,,,,,
2025-10-04T00:19:16.722125,Cập nhật 9 giờ trước,"5,25 tỷ","Nhà ngõ, hẻm",22 m²,"238,64 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,5,,,,,Hẻm xe hơi Nhà nở hậu,3.3 m,8 m,04,,22 m²,,,Nam,,
2025-10-04T00:19:18.978723,Cập nhật 7 ngày trước,42 tỷ,"Nhà mặt phố, mặt tiền",42 m²,1 tỷ/m²,Đã có sổ,1 phòng,,,,,,,,Nhà nở hậu,,,,,,,,,,
2025-10-04T00:19:21.359843,Cập nhật 7 ngày trước,"5,4 tỷ",,82.1 m²,"65,77 triệu/m²",Đang chờ sổ,3 phòng,,,,Đã bàn giao,Chung cư,,,,,,,,,,,,,
2025-10-04T00:19:23.289528,Cập nhật 8 ngày trước,"5,29 tỷ",,75 m²,"70,53 triệu/m²",Sổ hồng riêng,3 phòng,2 phòng,,,Đã bàn giao,"Tập thể, cư xá",,,,,,,,,,,,,
2025-10-04T00:19:23.551676,Cập nhật 7 ngày trước,70 tỷ,,85 m²,"823,53 triệu/m²",Đã có sổ,,,Nội thất đầy đủ,,,,,,,,,,,,,Văn phòng,,,
2025-10-04T00:19:25.117203,Cập nhật 9 ngày trước,"7,5 tỷ","Nhà mặt phố, mặt tiền",25 m²,300 triệu/m²,Đã có sổ,5 phòng,,,,,,,,,,,,,,,,,,
2025-10-04T00:19:27.190764,Cập nhật 8 ngày trước,"8,9 tỷ","Nhà ngõ, hẻm",48 m²,"185,42 triệu/m²",Đã có sổ,4 phòng,4 phòng,,,,,,,,,,,,,,,,,
2025-10-04T00:19:29.541487,Cập nhật 8 ngày trước,"24,98 tỷ",,66 m²,"378,48 triệu/m²",Đã có sổ,,,,,,,,Đất thổ cư,Mặt tiền Thổ cư toàn bộ,5.4 m,14 m,,,,,,,,
2025-10-04T00:19:31.861481,Cập nhật 9 ngày trước,"7,2 tỷ","Nhà ngõ, hẻm",42 m²,"171,43 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,,
2025-10-04T00:19:31.598054,Cập nhật 8 ngày trước,"19,6 tỷ","Nhà ngõ, hẻm",95 m²,"206,32 triệu/m²",Đã có sổ,9 phòng,3 phòng,,3,,,,,Nhà nở hậu,10 m,10 m,,,100 m²,,,Tây,,
2025-10-04T00:19:33.185221,Cập nhật 9 ngày trước,"6,7 tỷ","Nhà mặt phố, mặt tiền",40 m²,"167,50 triệu/m²",Đã có sổ,3 phòng,,,,,,,,,,,,,,,,,,
2025-10-04T00:19:35.564374,Cập nhật 9 ngày trước,3 tỷ,"Nhà mặt phố, mặt tiền",41 m²,"73,17 triệu/m²",Đã có sổ,1 phòng,1 phòng,,,,,,,,3 m,14 m,,,41 m²,,,,,
2025-10-04T00:19:37.500398,Cập nhật 7 ngày trước,"24,5 tỷ","Nhà mặt phố, mặt tiền",61 m²,"401,64 triệu/m²",Đã có sổ,3 phòng,,Nội thất cao cấp,5,,,,,Nhà nở hậu,3.5 m,17 m,,,305 m²,,,,,
2025-10-04T00:19:40.808978,Cập nhật 9 ngày trước,"17,96 tỷ","Nhà mặt phố, mặt tiền",46 m²,"390,43 triệu/m²",Đã có sổ,3 phòng,,Nội thất đầy đủ,7,,,,,Hẻm xe hơi,45 m,,,,,,,,,
2025-10-04T00:19:41.503894,Cập nhật 9 ngày trước,"7,9 tỷ","Nhà ngõ, hẻm",45 m²,"175,56 triệu/m²",Đã có sổ,3 phòng,3 phòng,Nội thất đầy đủ,5,,,,,,,,,,,,,,,
2025-10-04T00:19:41.578239,Cập nhật 8 ngày trước,"6,3 tỷ","Nhà ngõ, hẻm",25 m²,252 triệu/m²,Đã có sổ,6 phòng,6 phòng,Nội thất đầy đủ,7,,,,,Hẻm xe hơi,,,,,175 m²,,,,,
2025-10-04T00:19:44.572730,Cập nhật 4 ngày trước,"5,25 tỷ","Nhà ngõ, hẻm",22 m²,"238,64 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,5,,,,,Hẻm xe hơi Nhà nở hậu,3.3 m,8 m,03,,22 m²,,,Nam,,
2025-10-04T00:19:46.107519,Cập nhật 8 ngày trước,"4,58 tỷ",,60 m²,"76,33 triệu/m²",Sổ hồng riêng,2 phòng,,,,Đã bàn giao,"Tập thể, cư xá",,,,,,,,,,,,,
2025-10-04T00:19:50.193296,Cập nhật 9 ngày trước,"3,45 tỷ",,48 m²,"71,88 triệu/m²",Sổ hồng riêng,1 phòng,1 phòng,Nội thất đầy đủ,,Đã bàn giao,Chung cư,24,,,,,S1.05,,,2408,,,0,Đông Bắc
2025-10-04T00:19:50.517588,Cập nhật 8 ngày trước,"19,5 tỷ",Nhà phố liền kề,87 m²,"224,14 triệu/m²",Đã có sổ,4 phòng,4 phòng,Bàn giao thô,4,,,,,,6 m,,,,,,,,,
2025-10-04T00:19:54.984666,Cập nhật 8 ngày trước,"17,9 tỷ","Nhà ngõ, hẻm",50 m²,358 triệu/m²,Đã có sổ,4 phòng,5 phòng,Nội thất đầy đủ,5,,,,,Nhà nở hậu,3.3 m,15 m,,,50 m²,,,,,
2025-10-04T00:19:54.459013,Cập nhật 8 ngày trước,8 tỷ,"Nhà ngõ, hẻm",56 m²,"142,86 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,,
2025-10-04T00:19:57.772576,Cập nhật 9 ngày trước,"8,3 tỷ","Nhà ngõ, hẻm",30 m²,"276,67 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,5,,,,,Hẻm xe hơi Nhà nở hậu,3.6 m,,,,30 m²,,,Đông Nam,,
2025-10-04T00:19:59.385928,Cập nhật 9 ngày trước,"4,7 tỷ",,85 m²,"55,29 triệu/m²",Sổ hồng riêng,3 phòng,2 phòng,Hoàn thiện cơ bản,,Đã bàn giao,Chung cư,,,,,,,,,,,,,
2025-10-04T00:20:03.774147,Cập nhật 7 ngày trước,200 tỷ,"Nhà mặt phố, mặt tiền",223 m²,"896,86 triệu/m²",Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,Nội thất cao cấp,12,,,,,,8 m,,,,,,,,,
2025-10-04T00:20:05.344953,Cập nhật 4 ngày trước,11 tỷ,"Nhà ngõ, hẻm",64 m²,"171,88 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,,
2025-10-04T00:20:05.825852,Cập nhật 7 ngày trước,"7,2 tỷ","Nhà mặt phố, mặt tiền",48 m²,150 triệu/m²,Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,,
2025-10-04T00:20:07.361671,Cập nhật 8 ngày trước,"6,7 tỷ","Nhà ngõ, hẻm",33 m²,"203,03 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,5,,,,,Nhà nở hậu,,,,,33 m²,,,,,
2025-10-04T00:20:11.471943,Cập nhật 7 ngày trước,"3,75 tỷ","Nhà ngõ, hẻm",45 m²,"83,33 triệu/m²",Không có sổ,4 phòng,3 phòng,,4,,,,,Nhà nở hậu,4.5 m,,,,43 m²,,,,,
2025-10-04T00:20:12.877626,Cập nhật 8 ngày trước,7 tỷ,"Nhà ngõ, hẻm",33 m²,"212,12 triệu/m²",Đã có sổ,4 phòng,,Nội thất đầy đủ,,,,,,Hẻm xe hơi,,,,,,,,,,
2025-10-04T00:20:13.196294,Cập nhật 7 ngày trước,34 tỷ,"Nhà ngõ, hẻm",99 m²,"343,43 triệu/m²",Đã có sổ,nhiều hơn 10 phòng,,Nội thất cao cấp,7,,,,,Hẻm xe hơi,5.2 m,19 m,,,99 m²,,,,,
2025-10-04T00:20:19.729961,Cập nhật 7 ngày trước,"3,33 tỷ",,114 m²,"29,21 triệu/m²",Đã có sổ,,,,,,,,Đất thổ cư,Mặt tiền,4 m,28.5 m,,,,,,Nam,,
2025-10-04T00:20:21.672697,Cập nhật 9 ngày trước,17 tỷ,"Nhà mặt phố, mặt tiền",60 m²,"283,33 triệu/m²",Đã có sổ,4 phòng,5 phòng,,4,,,,,,,,,,,,,,,
2025-10-04T00:20:21.762415,Cập nhật 7 ngày trước,6 tỷ,"Nhà ngõ, hẻm",85 m²,"70,59 triệu/m²",Đã có sổ,3 phòng,,,,,,,,,,,,,,,,,,
2025-10-04T00:20:21.746018,Cập nhật 8 ngày trước,"4,38 tỷ",,40 m²,"109,50 triệu/m²",Đã có sổ,,,,,,,,Đất thổ cư,,4 m,10 m,,m²,,,,Tây Nam,,
2025-10-04T00:20:23.140500,Cập nhật 9 ngày trước,"9,3 tỷ","Nhà mặt phố, mặt tiền",42 m²,"221,43 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,,
2025-10-04T00:20:29.069284,Cập nhật 9 ngày trước,"4,2 tỷ","Nhà ngõ, hẻm",12 m²,350 triệu/m²,Đã có sổ,3 phòng,3 phòng,Nội thất cao cấp,5,,,,,Nhà nở hậu,,,,,16 m²,,,,,
2025-10-04T00:20:31.095408,Cập nhật 9 ngày trước,"5,8 tỷ","Nhà ngõ, hẻm",45 m²,"128,89 triệu/m²",Đã có sổ,6 phòng,,Nội thất đầy đủ,5,,,,,,4 m,,,,45 m²,,,,,
2025-10-04T00:20:30.491121,Cập nhật 7 ngày trước,"7,5 tỷ","Nhà ngõ, hẻm",45.5 m²,"164,84 triệu/m²",Đã có sổ,4 phòng,,Nội thất cao cấp,5,,,,,,,,,,,,,,,
2025-10-04T00:20:31.791628,Cập nhật 7 ngày trước,"29,5 tỷ",,85 m²,"347,06 triệu/m²",Sổ hồng riêng,nhiều hơn 10 phòng,,,,Chưa bàn giao,"Căn hộ dịch vụ, mini",,,,,,,,,,,,,
2025-10-04T00:20:31.725724,Cập nhật 8 ngày trước,"9,7 tỷ",Nhà phố liền kề,38 m²,"255,26 triệu/m²",Đã có sổ,2 phòng,2 phòng,Hoàn thiện cơ bản,2,,,,,Hẻm xe hơi,3 m,,,,38 m²,,,,,
2025-10-04T00:20:37.314535,Cập nhật 15 giờ trước,"5,99 tỷ","Nhà ngõ, hẻm",26 m²,"230,38 triệu/m²",Đã có sổ,5 phòng,,Nội thất đầy đủ,6,,,,,Hẻm xe hơi Nhà nở hậu,3 m,,,,,,,,,
2025-10-04T00:20:39.415429,Cập nhật 9 ngày trước,"2,6 tỷ","Nhà ngõ, hẻm",30 m²,"86,67 triệu/m²",Sổ chung / công chứng vi bằng,2 phòng,2 phòng,,,,,,,,,,,,,,,,,
2025-10-04T00:20:40.336518,Cập nhật 8 ngày trước,"7,5 tỷ","Nhà ngõ, hẻm",42 m²,"178,57 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,,
2025-10-04T00:20:40.558398,Cập nhật 8 ngày trước,"7,8 tỷ","Nhà ngõ, hẻm",36 m²,"216,67 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất cao cấp,5,,,,,Hẻm xe hơi Nhà nở hậu,3.5 m,,,,36 m²,,,Tây,,
2025-10-04T00:20:45.630190,Cập nhật 7 ngày trước,"3,35 tỷ","Nhà ngõ, hẻm",32 m²,"104,69 triệu/m²",Đã có sổ,3 phòng,,,,,,,,Hẻm xe hơi,,,,,,,,,,
2025-10-04T00:20:46.529946,Cập nhật 8 ngày trước,"7,5 tỷ","Nhà ngõ, hẻm",29 m²,"258,62 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất cao cấp,4,,,,,Hiện trạng khác,6.4 m,,,,145 m²,,,,,
2025-10-04T00:20:47.769811,Cập nhật 9 ngày trước,2 tỷ,,80 m²,25 triệu/m²,Đã có sổ,,,,,,,,Đất thổ cư,,5 m,16 m,,m²,,,,,,
2025-10-04T00:20:49.159603,Cập nhật 9 ngày trước,"8,9 tỷ","Nhà ngõ, hẻm",39 m²,"228,21 triệu/m²",Đã có sổ,4 phòng,,,5,,,,,Nhà nở hậu,,,,,,,,,,
2025-10-04T00:20:54.120616,Cập nhật 8 ngày trước,"6,2 tỷ",,33 m²,"187,88 triệu/m²",Đã có sổ,,,,,,,,Đất thổ cư,Mặt tiền Hẻm xe hơi Thổ cư toàn bộ,4.1 m,,,m²,,,,,,
