now,published_at,price,land_type,size,price_m2,property_legal_document,pty_characteristics,width,size_unit,direction,length,house_type,rooms,toilets,furnishing_sell,floors,living_size,property_status,apartment_type,block,commercial_type,floornumber,apartment_feature,property_back_condition,street_id,unitnumber,balconydirection
2025-10-04T12:40:27.939463,Cập nhật 9 ngày trước,"7,1 tỷ",,39 m²,"182,05 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",3 phòng,,,,,,,,,,,,,,
2025-10-04T12:40:31.959368,Cập nhật 9 ngày trước,"7,8 tỷ",,46 m²,"169,57 triệu/m²",Đã có sổ,,5 m,,,9.4 m,"Nhà ngõ, hẻm",3 phòng,3 phòng,Hoàn thiện cơ bản,4,230 m²,,,,,,,,,,
2025-10-04T12:40:32.355265,Cập nhật 9 ngày trước,"4,58 tỷ",,60 m²,"76,33 triệu/m²",Sổ hồng riêng,,,,,,,2 phòng,,,,,Đã bàn giao,"Tập thể, cư xá",,,,,,,,
2025-10-04T12:40:36.819835,Cập nhật 9 ngày trước,"1,59 tỷ",,11 m²,"144,55 triệu/m²",Không có sổ,,,,,,"Nhà ngõ, hẻm",2 phòng,2 phòng,Nội thất đầy đủ,4,,,,,,,,,,,
2025-10-04T12:40:37.018668,Cập nhật 9 ngày trước,"7,2 tỷ",,38 m²,"189,47 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",3 phòng,,,,,,,,,,,,,,
2025-10-04T12:40:39.288472,Cập nhật 9 ngày trước,"6,75 tỷ",Đất thổ cư,62 m²,"108,87 triệu/m²",Đã có sổ,Nở hậu,,,,,,,,,,,,,,,,,,,,
2025-10-04T12:40:41.452657,Cập nhật 9 ngày trước,3 tỷ,Đất thổ cư,100 m²,30 triệu/m²,Đã có sổ,Mặt tiền Hẻm xe hơi Nở hậu,,m²,,,,,,,,,,,,,,,,,,
2025-10-04T12:40:46.110771,Cập nhật 9 ngày trước,5 tỷ,,40 m²,125 triệu/m²,Đã có sổ,,,,Đông Nam,,"Nhà ngõ, hẻm",3 phòng,4 phòng,Hoàn thiện cơ bản,5,200 m²,,,,,,,,,,
2025-10-04T12:40:46.216804,Cập nhật 9 ngày trước,7 tỷ,,33 m²,"212,12 triệu/m²",Đã có sổ,Hẻm xe hơi,3.8 m,,Đông Nam,,"Nhà ngõ, hẻm",4 phòng,4 phòng,Nội thất đầy đủ,5,33 m²,,,,,,,,,,
2025-10-04T12:40:48.867330,Cập nhật 9 ngày trước,"6,8 tỷ",,47 m²,"144,68 triệu/m²",Đã có sổ,Nhà nở hậu,6 m,,Tây Nam,7.75 m,"Nhà ngõ, hẻm",4 phòng,3 phòng,Nội thất đầy đủ,4,47 m²,,,,,,,,,,
2025-10-04T12:40:50.378574,Cập nhật 9 ngày trước,250 tỷ,,320 m²,"781,25 triệu/m²",Đã có sổ,Nhà nở hậu,11 m,,Đông Bắc,30 m,Nhà biệt thự,5 phòng,5 phòng,Hoàn thiện cơ bản,2,600 m²,,,,,,,,,,
2025-10-04T12:40:55.265794,Cập nhật 9 ngày trước,"7,4 tỷ",,32 m²,"231,25 triệu/m²",Đã có sổ,,4 m,,,8 m,"Nhà ngõ, hẻm",4 phòng,4 phòng,Nội thất đầy đủ,6,,,,,,,,,,,
2025-10-04T12:40:55.682000,Cập nhật 9 ngày trước,7 tỷ,Đất thổ cư,344 m²,"20,35 triệu/m²",Đã có sổ,Mặt tiền,9 m,m²,,38 m,,,,,,,,,,,,,,,,
2025-10-04T12:40:59.831593,Cập nhật 9 ngày trước,"10,8 tỷ",,41 m²,"263,41 triệu/m²",Đã có sổ,Hẻm xe hơi Nhà nở hậu,4 m,,,,"Nhà mặt phố, mặt tiền",6 phòng,4 phòng,Nội thất đầy đủ,4,200 m²,,,,,,,,,,
2025-10-04T12:41:00.149555,Cập nhật 9 ngày trước,"7,86 tỷ",,32 m²,"245,62 triệu/m²",Đã có sổ,,6.8 m,,,,"Nhà ngõ, hẻm",4 phòng,,Nội thất đầy đủ,5,32 m²,,,,,,,,,,
2025-10-04T12:41:00.927200,Cập nhật 9 ngày trước,"5,1 tỷ",,22 m²,"231,82 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",2 phòng,3 phòng,,4,,,,,,,,,,,
2025-10-04T12:41:05.120072,Cập nhật 9 ngày trước,"8,95 tỷ",,44 m²,"203,41 triệu/m²",Đã có sổ,Nhà nở hậu,,,,,"Nhà ngõ, hẻm",3 phòng,4 phòng,Nội thất đầy đủ,5,44 m²,,,,,,,,,,
2025-10-04T12:41:06.451104,Cập nhật 9 ngày trước,7 tỷ,,38 m²,"184,21 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",3 phòng,3 phòng,,,,,,,,,,,,,
2025-10-04T12:41:09.442179,Cập nhật 9 ngày trước,"4,5 tỷ",,31 m²,"145,16 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",3 phòng,,,,,,,,,,,,,,
2025-10-04T12:41:09.485168,Cập nhật 9 ngày trước,"18,9 tỷ",Đất thổ cư,90 m²,210 triệu/m²,Đã có sổ,Mặt tiền Hẻm xe hơi Thổ cư toàn bộ,4.4 m,m²,Đông Bắc,20.45 m,,,,,,,,,,,,,,,,
