now,published_at,price,land_type,size,price_m2,property_legal_document,pty_characteristics,width,size_unit,direction,length,house_type,rooms,toilets,furnishing_sell,floors,living_size,property_status,apartment_type,block,commercial_type,floornumber,apartment_feature,property_back_condition,street_id,unitnumber,balconydirection
2025-10-04T12:43:42.608799,Cập nhật 9 ngày trước,"7,2 tỷ",,35 m²,"205,71 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",5 phòng,,,,,,,,,,,,,,
2025-10-04T12:43:47.430753,Cập nhật 9 ngày trước,"7,5 tỷ",,43 m²,"174,42 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",5 phòng,,,,,,,,,,,,,,
2025-10-04T12:43:47.453665,Cập nhật 9 ngày trước,"15,2 tỷ",,50 m²,304 triệu/m²,Đã có sổ,,4 m,,,13 m,"Nhà mặt phố, mặt tiền",8 phòng,Nhiều hơn 6 phòng,Nội thất cao cấp,,350 m²,,,,,,,,,,
2025-10-04T12:43:49.779557,Cập nhật 9 ngày trước,"19,5 tỷ",,100 m²,195 triệu/m²,Đã có sổ,Nhà nở hậu,7 m,,,14.28 m,"Nhà ngõ, hẻm",nhiều hơn 10 phòng,Nhiều hơn 6 phòng,Nội thất đầy đủ,6,100 m²,,,,,,,,,,
2025-10-04T12:43:50.310781,Cập nhật 9 ngày trước,54 tỷ,,130 m²,"415,38 triệu/m²",Đã có sổ,,9 m,,,,"Nhà mặt phố, mặt tiền",9 phòng,Nhiều hơn 6 phòng,Nội thất đầy đủ,8,1200 m²,,,,,,,,,,
2025-10-04T12:43:53.474872,Cập nhật 9 ngày trước,"13,9 tỷ",,48 m²,"289,58 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",2 phòng,2 phòng,,3,,,,,,,,,,,
2025-10-04T12:43:58.695276,Cập nhật 9 ngày trước,9 tỷ,,40 m²,225 triệu/m²,Đã có sổ,,,,,,"Nhà ngõ, hẻm",3 phòng,,,6,,,,,,,,,,,
2025-10-04T12:43:59.812105,Cập nhật 9 ngày trước,"6,82 tỷ",,32 m²,"213,12 triệu/m²",Đã có sổ,Nhà nở hậu,4.5 m,,,,"Nhà ngõ, hẻm",4 phòng,4 phòng,,,,,,,,,,,,,
2025-10-04T12:44:00.682628,Cập nhật 9 ngày trước,22 tỷ,,93 m²,"236,56 triệu/m²",Đã có sổ,Nhà nở hậu,5.3 m,,,17 m,"Nhà mặt phố, mặt tiền",6 phòng,,Nội thất đầy đủ,6,100 m²,,,,,,,,,,
2025-10-04T12:44:02.918821,Cập nhật 9 ngày trước,"20,5 tỷ",,25 m²,820 triệu/m²,Đã có sổ,,3 m,,,,"Nhà mặt phố, mặt tiền",4 phòng,4 phòng,Nội thất cao cấp,5,100 m²,,,,,,,,,,
2025-10-04T12:44:06.305747,Cập nhật 9 ngày trước,"7,1 tỷ",,32 m²,"221,88 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",3 phòng,,,,,,,,,,,,,,
2025-10-04T12:44:07.963900,Cập nhật 9 ngày trước,"6,688 tỷ",,40 m²,"167,20 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",4 phòng,3 phòng,,,40 m²,,,,,,,,,,
2025-10-04T12:44:09.495715,Cập nhật 9 ngày trước,"8,7 tỷ",,39 m²,"223,08 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",8 phòng,,Nội thất đầy đủ,6,,,,,,,,,,,
2025-10-04T12:44:12.418424,Cập nhật 9 ngày trước,"7,7 tỷ",,170 m²,"45,29 triệu/m²",Sổ hồng riêng,,,,,,,6 phòng,,,,,Đã bàn giao,Duplex,,,,,,,,
2025-10-04T12:44:16.432386,Cập nhật 9 ngày trước,"7,8 tỷ",,46 m²,"169,57 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",3 phòng,,,,,,,,,,,,,,
2025-10-04T12:44:17.186634,Cập nhật 9 ngày trước,"5,75 tỷ",,35 m²,"164,29 triệu/m²",Đã có sổ,Nhà nở hậu,,,,,"Nhà mặt phố, mặt tiền",3 phòng,4 phòng,,5,35 m²,,,,,,,,,,
2025-10-04T12:44:18.876534,Cập nhật 2 ngày trước,"5,5 tỷ",,25 m²,220 triệu/m²,Đã có sổ,Nhà nở hậu,,,,,"Nhà ngõ, hẻm",3 phòng,3 phòng,Nội thất đầy đủ,4,,,,,,,,,,,
2025-10-04T12:44:19.642278,Cập nhật 9 ngày trước,"7,69 tỷ",,36 m²,"213,61 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",4 phòng,3 phòng,,,,,,,,,,,,,
2025-10-04T12:44:23.198296,Cập nhật 9 ngày trước,"13,755 tỷ",,55 m²,"250,09 triệu/m²",Đã có sổ,Nhà nở hậu,,,,,"Nhà ngõ, hẻm",6 phòng,5 phòng,Nội thất đầy đủ,5,60 m²,,,,,,,,,,
2025-10-04T12:44:26.266595,Cập nhật 9 ngày trước,"8,8 tỷ",Đất thổ cư,49.5 m²,"177,78 triệu/m²",Đã có sổ,Thổ cư toàn bộ,,,,,,,,,,,,,,,,,,,,
2025-10-04T12:44:25.598307,Cập nhật 9 ngày trước,"13,88 tỷ",,82 m²,"169,27 triệu/m²",Đã có sổ,,,,,,"Nhà mặt phố, mặt tiền",5 phòng,,,5,,,,,,,,,,,
2025-10-04T12:44:27.957057,Cập nhật 9 ngày trước,"21,6 tỷ",,77.4 m²,"279,07 triệu/m²",Đã có sổ,Hẻm xe hơi,,,,,"Nhà ngõ, hẻm",5 phòng,3 phòng,Nội thất đầy đủ,4,310 m²,,,,,,,,,,
2025-10-04T12:44:33.169670,Cập nhật 9 ngày trước,"62,45 tỷ",,207 m²,"301,69 triệu/m²",Đã có sổ,,9 m,,,,Nhà biệt thự,5 phòng,5 phòng,Nội thất đầy đủ,5,207 m²,,,,,,,,,,
2025-10-04T12:44:36.762412,Cập nhật 9 ngày trước,"7,3 tỷ",,41 m²,"178,05 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",3 phòng,4 phòng,Nội thất đầy đủ,5,,,,,,,,,,,
2025-10-04T12:44:37.570622,Cập nhật 9 ngày trước,"3,9 tỷ",Đất thổ cư,51 m²,"76,47 triệu/m²",Đã có sổ,,,m²,,,,,,,,,,,,,,,,,,
2025-10-04T12:44:39.719482,Cập nhật 9 ngày trước,"7,8 tỷ",,42 m²,"185,71 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",4 phòng,3 phòng,Nội thất cao cấp,5,,,,,,,,,,,
2025-10-04T12:44:42.872884,Cập nhật 9 ngày trước,"8,15 tỷ",,45 m²,"181,11 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",4 phòng,,,,,,,,,,,,,,
2025-10-04T12:44:46.936656,Cập nhật 9 ngày trước,"3,8 tỷ",,48 m²,"79,17 triệu/m²",Đã có sổ,Hẻm xe hơi Nhà nở hậu,4 m,,Nam,11.2 m,"Nhà ngõ, hẻm",4 phòng,3 phòng,Nội thất đầy đủ,4,48 m²,,,,,,,,,,
2025-10-04T12:44:48.998569,Cập nhật 9 ngày trước,"4,2 tỷ",,35 m²,120 triệu/m²,Không có sổ,,4 m,,,9 m,"Nhà ngõ, hẻm",3 phòng,4 phòng,Nội thất đầy đủ,3,35 m²,,,,,,,,,,
2025-10-04T12:44:49.154518,Cập nhật 9 ngày trước,"7,8 tỷ",,80 m²,"97,50 triệu/m²",Sổ hồng riêng,,,,,,,3 phòng,,,,,Chưa bàn giao,Chung cư,,,,,,,,
2025-10-04T12:44:52.964990,Cập nhật 9 ngày trước,"10,7 tỷ",,40 m²,"267,50 triệu/m²",Đã có sổ,Hẻm xe hơi,3.2 m,,Tây Bắc,13 m,"Nhà ngõ, hẻm",6 phòng,4 phòng,Nội thất cao cấp,5,200 m²,,,,,,,,,,
2025-10-04T12:44:56.918386,Cập nhật 9 ngày trước,"5,85 tỷ",,53 m²,"110,38 triệu/m²",Đã có sổ,,3.5 m,,,,"Nhà ngõ, hẻm",4 phòng,,Nội thất đầy đủ,4,53 m²,,,,,,,,,,
2025-10-04T12:44:57.687820,Cập nhật 9 ngày trước,5 tỷ,,32.7 m²,"152,91 triệu/m²",Sổ hồng riêng,,,,,,,1 phòng,,,,,Đã bàn giao,"Căn hộ dịch vụ, mini",,,,,,,,
2025-10-04T12:44:58.220287,Cập nhật 9 ngày trước,6 tỷ,Đất thổ cư,70 m²,"85,71 triệu/m²",Đã có sổ,,5 m,,,14 m,,,,,,,,,,,,,,,,
2025-10-04T12:44:58.398023,Cập nhật 9 ngày trước,"7,2 tỷ",,45 m²,160 triệu/m²,Đã có sổ,,,,,,"Nhà ngõ, hẻm",3 phòng,,,6,,,,,,,,,,,
2025-10-04T12:45:07.957956,Cập nhật 9 ngày trước,"5,4 tỷ",,65 m²,"83,08 triệu/m²",Sổ hồng riêng,,,,,,,2 phòng,2 phòng,Nội thất cao cấp,,,Đã bàn giao,Chung cư,,,,,,,,Đông Nam
2025-10-04T12:45:08.320119,Cập nhật 9 ngày trước,"13,7 tỷ",Đất nền dự án,50 m²,274 triệu/m²,Đã có sổ,,,,,,,,,,,,,,,,,,,,,
2025-10-04T12:45:08.687514,Cập nhật 9 ngày trước,"8,95 tỷ",,50 m²,179 triệu/m²,Đã có sổ,Hẻm xe hơi Nhà nở hậu,,,,,"Nhà ngõ, hẻm",4 phòng,4 phòng,Hoàn thiện cơ bản,4,50 m²,,,,,,,,,,
2025-10-04T12:45:10.096509,Cập nhật 9 ngày trước,"5,79 tỷ",,80 m²,"72,38 triệu/m²",Sổ hồng riêng,,,,,,,3 phòng,,,,,Đã bàn giao,"Tập thể, cư xá",,,,,,,,
2025-10-04T12:45:16.803543,Cập nhật 9 ngày trước,"7,8 tỷ",,38 m²,"205,26 triệu/m²",Đã có sổ,Hiện trạng khác,,,,,"Nhà ngõ, hẻm",4 phòng,,Nội thất đầy đủ,4,,,,,,,,,,,
2025-10-04T12:45:22.646861,Cập nhật 9 ngày trước,"9,5 tỷ",,52 m²,"182,69 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",4 phòng,,,,,,,,,,,,,,
2025-10-04T12:45:22.717463,Cập nhật 9 ngày trước,"4,2 tỷ",,12 m²,350 triệu/m²,Đã có sổ,Nhà nở hậu,,,,,"Nhà ngõ, hẻm",3 phòng,3 phòng,Nội thất cao cấp,5,16 m²,,,,,,,,,,
2025-10-04T12:45:23.177596,Cập nhật 9 ngày trước,"6,5 tỷ",,31 m²,"209,68 triệu/m²",Đã có sổ,,3.3 m,,Đông Nam,9.3 m,"Nhà ngõ, hẻm",3 phòng,4 phòng,Nội thất đầy đủ,5,31 m²,,,,,,,,,,
2025-10-04T12:45:20.866451,Cập nhật 18 giờ trước,"8,3 tỷ",,43 m²,"193,02 triệu/m²",Đã có sổ,,4 m,,,,"Nhà ngõ, hẻm",5 phòng,,,,,,,,,,,,,,
2025-10-04T12:45:30.442233,Cập nhật 9 ngày trước,6 tỷ,,100 m²,60 triệu/m²,Đã có sổ,Hẻm xe hơi,5 m,,Nam,20 m,"Nhà ngõ, hẻm",2 phòng,2 phòng,Hoàn thiện cơ bản,,100 m²,,,,,,,,,,
2025-10-04T12:45:36.608457,Cập nhật 9 ngày trước,"4,2 tỷ",Đất thổ cư,280 m²,15 triệu/m²,Đã có sổ,"Mặt tiền
Hẻm xe hơi
Nở hậu
Thổ cư 1 phần",,m²,,,,,,,,,,,,,,,,,,
2025-10-04T12:45:36.950144,Cập nhật 9 ngày trước,"8,5 tỷ",,37 m²,"229,73 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",3 phòng,3 phòng,,,,,,,,,,,,,
2025-10-04T12:45:38.430946,Cập nhật 9 ngày trước,"5,8 tỷ",,45 m²,"128,89 triệu/m²",Đã có sổ,,4 m,,,,"Nhà ngõ, hẻm",6 phòng,,Nội thất đầy đủ,5,45 m²,,,,,,,,,,
2025-10-04T12:45:39.229486,Cập nhật 9 ngày trước,"16,5 tỷ",,65 m²,"253,85 triệu/m²",Đã có sổ,Hẻm xe hơi,6.5 m,,,10 m,"Nhà ngõ, hẻm",3 phòng,2 phòng,,3,,,,,,,,,,,
2025-10-04T12:45:44.376752,Cập nhật 9 ngày trước,"4,68 tỷ",,70 m²,"66,86 triệu/m²",Sổ hồng riêng,,,,,,,2 phòng,1 phòng,Nội thất cao cấp,,,Chưa bàn giao,"Tập thể, cư xá",,,3,,,,,
2025-10-04T12:45:50.054888,Cập nhật 9 ngày trước,"13,5 tỷ",,65 m²,"207,69 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",4 phòng,,,,,,,,,,,,,,
2025-10-04T12:45:51.314207,Cập nhật 9 ngày trước,"7,5 tỷ",,25 m²,300 triệu/m²,Đã có sổ,,,,,,"Nhà mặt phố, mặt tiền",5 phòng,,,,,,,,,,,,,,
2025-10-04T12:45:53.490315,Cập nhật 9 ngày trước,"15,5 tỷ",,37 m²,"418,92 triệu/m²",Đã có sổ,"Hẻm xe hơi
Nhà nở hậu",6 m,,Đông Nam,6 m,Nhà phố liền kề,3 phòng,,Nội thất đầy đủ,4,37 m²,,,,,,,,,,
2025-10-04T12:45:55.381025,Cập nhật 9 ngày trước,"8,6 tỷ",,36 m²,"238,89 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",10 phòng,Nhiều hơn 6 phòng,Nội thất đầy đủ,6,,,,,,,,,,,
2025-10-04T12:45:57.762105,Cập nhật 9 ngày trước,"17,6 tỷ",,56 m²,"314,29 triệu/m²",Đã có sổ,Nhà nở hậu,3.8 m,,,,"Nhà mặt phố, mặt tiền",3 phòng,3 phòng,Nội thất đầy đủ,4,56 m²,,,,,,,,,,
2025-10-04T12:46:06.259866,Cập nhật 9 ngày trước,"6,7 tỷ",,38 m²,"176,32 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",3 phòng,,,,,,,,,,,,,,
2025-10-04T12:46:06.176375,Cập nhật 9 ngày trước,"8,35 tỷ",,45 m²,"185,56 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",4 phòng,,Nội thất cao cấp,5,,,,,,,,,,,
2025-10-04T12:46:09.347694,Cập nhật 9 ngày trước,"7,9 tỷ",,36 m²,"219,44 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",4 phòng,4 phòng,,4,35 m²,,,,,,,,,,
2025-10-04T12:46:10.663161,Cập nhật 9 ngày trước,"12,1 tỷ",,39 m²,"310,26 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",3 phòng,6 phòng,Nội thất cao cấp,6,234 m²,,,,,,,,,,
2025-10-04T12:46:19.298759,Cập nhật 9 ngày trước,"7,65 tỷ",,42 m²,"182,14 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",3 phòng,4 phòng,Nội thất đầy đủ,5,,,,,,,,,,,
2025-10-04T12:46:21.466060,Cập nhật 1 ngày trước,"4,88 tỷ",,22 m²,"221,82 triệu/m²",Đã có sổ,"Hẻm xe hơi
Nhà nở hậu",4 m,,Tây Bắc,6 m,"Nhà ngõ, hẻm",3 phòng,3 phòng,Nội thất đầy đủ,5,22 m²,,,09,,,,,,,
