now,published_at,price,house_type,size,price_m2,property_legal_document,rooms,furnishing_sell,floors,toilets,pty_characteristics,width,land_type,direction,length,block,size_unit,living_size,property_status,apartment_type,balconydirection,floornumber,apartment_feature,commercial_type
2025-10-03T07:56:35.065952,Cập nhật 1 ngày trước,"2,79 tỷ","Nhà ngõ, hẻm",128 m²,"21,80 triệu/m²",Đã có sổ,3 phòng,,,,,,,,,,,100 m²,,,,,,
2025-10-03T07:56:33.920860,Cập nhật 12 giờ trước,34 tỷ,"Nhà ngõ, hẻm",107 m²,"317,76 triệu/m²",Đã có sổ,6 phòng,,,,"Nhà nở hậu
Hẻm xe hơi",,,,,,,,,,,,,
2025-10-03T07:56:37.628134,Cập nhật 8 ngày trước,17 tỷ,"Nhà mặt phố, mặt tiền",50 m²,340 triệu/m²,Đã có sổ,3 phòng,Nội thất đầy đủ,4,4 phòng,Nhà nở hậu,3.8 m,,,,,,50 m²,,,,,,
2025-10-03T07:56:42.840930,Cập nhật 7 ngày trước,"7,9 tỷ","Nhà ngõ, hẻm",20 m²,395 triệu/m²,Đã có sổ,2 phòng,Hoàn thiện cơ bản,,3 phòng,Hẻm xe hơi,,,,,,,20 m²,,,,,,
2025-10-03T07:56:48.751602,Cập nhật 7 ngày trước,5 tỷ,"Nhà ngõ, hẻm",32 m²,"156,25 triệu/m²",Đã có sổ,4 phòng,Nội thất cao cấp,,4 phòng,Hẻm xe hơi,5 m,,,,,,32 m²,,,,,,
2025-10-03T07:56:50.126786,Cập nhật 8 ngày trước,"1,7 tỷ","Nhà ngõ, hẻm",10 m²,170 triệu/m²,Đã có sổ,2 phòng,Bàn giao thô,3,1 phòng,Nhà nở hậu,,,Tây Nam,,,,,,,,,,
2025-10-03T07:56:49.972471,Cập nhật 7 ngày trước,"12,2 tỷ","Nhà ngõ, hẻm",50 m²,244 triệu/m²,Đã có sổ,3 phòng,,,,,,,,,,,,,,,,,
2025-10-03T07:57:02.025735,Cập nhật 6 ngày trước,"7,2 tỷ","Nhà ngõ, hẻm",36 m²,200 triệu/m²,Đã có sổ,4 phòng,Nội thất đầy đủ,5,3 phòng,,,,,,,,36 m²,,,,,,
2025-10-03T07:57:05.010973,Cập nhật 8 ngày trước,"7,25 tỷ","Nhà ngõ, hẻm",43 m²,"168,60 triệu/m²",Đã có sổ,6 phòng,,5,4 phòng,,,,,,,,,,,,,,
2025-10-03T07:57:05.896533,Cập nhật 7 ngày trước,"6,9 tỷ",,116 m²,"59,48 triệu/m²",Đã có sổ,,,,,"Mặt tiền
Nở hậu
Thổ cư toàn bộ",7 m,Đất thổ cư,Tây,15 m,,m²,,,,,,,
2025-10-03T07:57:05.319354,Cập nhật 6 ngày trước,"18,93 tỷ","Nhà ngõ, hẻm",52 m²,"364,04 triệu/m²",Đã có sổ,5 phòng,,,5 phòng,"Hẻm xe hơi
Nhà nở hậu",,,,,,,,,,,,,
2025-10-03T07:57:11.701399,Cập nhật 8 ngày trước,"21,9 tỷ","Nhà ngõ, hẻm",79 m²,"277,22 triệu/m²",Đã có sổ,5 phòng,Nội thất cao cấp,5,5 phòng,"Hẻm xe hơi
Nhà nở hậu",,,,,,,,,,,,,
2025-10-03T07:57:17.004554,Cập nhật 7 ngày trước,"9,8 tỷ","Nhà mặt phố, mặt tiền",32 m²,"306,25 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-03T07:57:19.584571,Cập nhật 8 ngày trước,"26,8 tỷ","Nhà ngõ, hẻm",117 m²,"229,06 triệu/m²",Đã có sổ,nhiều hơn 10 phòng,Nội thất cao cấp,7,,Nhà nở hậu,5.4 m,,,21 m,,,819 m²,,,,,,
2025-10-03T07:57:32.575046,Cập nhật 8 ngày trước,"11,7 tỷ","Nhà mặt phố, mặt tiền",43 m²,"272,09 triệu/m²",Đã có sổ,5 phòng,Nội thất cao cấp,5,6 phòng,Hẻm xe hơi,,,,,,,,,,,,,
2025-10-03T07:57:34.409735,Cập nhật 9 ngày trước,"14,95 tỷ","Nhà mặt phố, mặt tiền",50 m²,299 triệu/m²,Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-03T07:57:46.695963,Cập nhật 6 ngày trước,"4,8 tỷ",,62 m²,"77,42 triệu/m²",Sổ hồng riêng,2 phòng,,,,,,,,,,,,Đã bàn giao,Chung cư,,,,
2025-10-03T07:57:55.434169,Cập nhật 7 ngày trước,"18,9 tỷ",,98 m²,"192,86 triệu/m²",Đã có sổ,,,,,,6 m,Đất thổ cư,,,,m²,,,,,,,
2025-10-03T07:58:08.487934,Cập nhật 8 ngày trước,"4,4 tỷ","Nhà ngõ, hẻm",35 m²,"125,71 triệu/m²",Đã có sổ,3 phòng,Hoàn thiện cơ bản,5,,Nhà nở hậu,4 m,,,,,,35 m²,,,,,,
2025-10-03T07:58:11.116591,Cập nhật 8 ngày trước,"5,15 tỷ",,55 m²,"93,64 triệu/m²",Đã có sổ,,,,,Mặt tiền,7.2 m,Đất thổ cư,,,,m²,,,,,,,
2025-10-03T07:58:16.274522,Cập nhật 7 ngày trước,"4,68 tỷ","Nhà ngõ, hẻm",21 m²,"222,86 triệu/m²",Đã có sổ,4 phòng,Nội thất đầy đủ,4,,,4 m,,,6 m,,,25 m²,,,,,,
2025-10-03T07:58:16.293577,Cập nhật 6 ngày trước,"16,5 tỷ","Nhà ngõ, hẻm",45 m²,"366,67 triệu/m²",Đã có sổ,5 phòng,Nội thất đầy đủ,8,Nhiều hơn 6 phòng,Hẻm xe hơi,5.5 m,,,,,,45 m²,,,,,,
2025-10-03T07:58:24.252354,Cập nhật 8 ngày trước,"4,7 tỷ","Nhà mặt phố, mặt tiền",80 m²,"58,75 triệu/m²",Đã có sổ,4 phòng,Nội thất cao cấp,4,3 phòng,,,,Đông Nam,,,,200 m²,,,,,,
2025-10-03T07:58:36.245580,Cập nhật 7 ngày trước,"11,6 tỷ","Nhà ngõ, hẻm",55 m²,"210,91 triệu/m²",Đã có sổ,3 phòng,Nội thất đầy đủ,3,3 phòng,Hẻm xe hơi,5.5 m,,Đông Bắc,10 m,,,55 m²,,,,,,
2025-10-03T07:58:55.377759,Cập nhật 8 ngày trước,"5,05 tỷ","Nhà ngõ, hẻm",22 m²,"229,55 triệu/m²",Đã có sổ,3 phòng,,5,4 phòng,Nhà nở hậu,4.5 m,,,,,,28 m²,,,,,,
2025-10-03T07:58:59.060515,Cập nhật 7 ngày trước,"7,45 tỷ","Nhà ngõ, hẻm",45 m²,"165,56 triệu/m²",Đã có sổ,5 phòng,,,,,,,,,,,,,,,,,
2025-10-03T07:59:18.128619,Cập nhật 7 ngày trước,"8,456 tỷ","Nhà ngõ, hẻm",46 m²,"183,84 triệu/m²",Đã có sổ,4 phòng,Nội thất đầy đủ,5,4 phòng,,,,,,,,50 m²,,,,,,
2025-10-03T07:59:20.681600,Cập nhật 1 ngày trước,"2,35 tỷ","Nhà ngõ, hẻm",15 m²,"156,67 triệu/m²",Sổ chung / công chứng vi bằng,3 phòng,Nội thất đầy đủ,4,2 phòng,,,,Tây Bắc,,,,15 m²,,,,,,
2025-10-03T07:59:21.218365,Cập nhật 8 ngày trước,"7,95 tỷ","Nhà ngõ, hẻm",30 m²,265 triệu/m²,Đã có sổ,3 phòng,,5,,,,,,,,,,,,,,,
2025-10-03T07:59:27.121379,Cập nhật 8 ngày trước,12 tỷ,"Nhà ngõ, hẻm",44 m²,"272,73 triệu/m²",Đã có sổ,6 phòng,Nội thất đầy đủ,5,,Nhà nở hậu,3.6 m,,,12 m,,,220 m²,,,,,,
2025-10-03T07:59:34.305886,Cập nhật 8 ngày trước,"13,95 tỷ","Nhà ngõ, hẻm",45 m²,310 triệu/m²,Đã có sổ,4 phòng,Nội thất cao cấp,5,4 phòng,Hẻm xe hơi,,,,,,,,,,,,,
2025-10-03T07:59:47.361554,Cập nhật 4 ngày trước,"8,25 tỷ","Nhà ngõ, hẻm",35 m²,"235,71 triệu/m²",Đã có sổ,3 phòng,,5,,,,,,,,,35 m²,,,,,,
2025-10-03T07:59:48.596927,Cập nhật 2 ngày trước,"5,8 tỷ","Nhà ngõ, hẻm",26 m²,"223,08 triệu/m²",Đã có sổ,3 phòng,Nội thất cao cấp,4,2 phòng,,4.3 m,,Đông,,,,24 m²,,,,,,
2025-10-03T07:59:55.021236,Cập nhật 8 ngày trước,"5,05 tỷ","Nhà ngõ, hẻm",27 m²,"187,04 triệu/m²",Đã có sổ,3 phòng,Nội thất đầy đủ,3,3 phòng,Nhà nở hậu,3 m,,,,,,27 m²,,,,,,
2025-10-03T08:00:01.181735,Cập nhật 17 giờ trước,"35,6 tỷ",Nhà biệt thự,100 m²,356 triệu/m²,Đã có sổ,4 phòng,,7,6 phòng,Hẻm xe hơi,6 m,,,,,,,,,,,,
2025-10-03T08:00:07.861325,Cập nhật 1 ngày trước,"7,65 tỷ",,113 m²,"67,70 triệu/m²",Sổ hồng riêng,3 phòng,,,,,,,,,,,,Đã bàn giao,Chung cư,,,,
2025-10-03T08:00:15.395352,Cập nhật 8 ngày trước,"9,8 tỷ","Nhà ngõ, hẻm",37 m²,"264,86 triệu/m²",Đã có sổ,3 phòng,Nội thất đầy đủ,5,4 phòng,Hiện trạng khác,,,Nam,,,,193 m²,,,,,,
2025-10-03T08:00:21.828475,Cập nhật 7 ngày trước,"1,9 tỷ","Nhà ngõ, hẻm",12 m²,"158,33 triệu/m²",Đã có sổ,1 phòng,,,,Hẻm xe hơi,,,,,,,40 m²,,,,,,
2025-10-03T08:00:28.289633,Cập nhật 6 ngày trước,"5,7 tỷ","Nhà ngõ, hẻm",39.9 m²,"142,86 triệu/m²",Đã có sổ,3 phòng,,3,2 phòng,Hẻm xe hơi,3.4 m,,,13 m,,,39.9 m²,,,,,,
2025-10-03T08:00:29.021478,Cập nhật 7 ngày trước,"42,5 tỷ","Nhà ngõ, hẻm",165 m²,"257,58 triệu/m²",Đã có sổ,3 phòng,,,,,,,,,,,165 m²,,,,,,
2025-10-03T08:00:37.307578,Cập nhật 6 ngày trước,11 tỷ,"Nhà ngõ, hẻm",50 m²,220 triệu/m²,Đã có sổ,3 phòng,,,,,,,,,,,,,,,,,
2025-10-03T08:00:52.754683,Cập nhật 8 ngày trước,"1,65 tỷ",,100 m²,"16,50 triệu/m²",Đã có sổ,,,,,Mặt tiền,5 m,Đất thổ cư,Đông,20 m,,m²,,,,,,,
2025-10-03T08:00:56.465966,Cập nhật 8 ngày trước,"8,4 tỷ","Nhà ngõ, hẻm",36 m²,"233,33 triệu/m²",Đã có sổ,3 phòng,Nội thất đầy đủ,5,4 phòng,Nhà nở hậu,4 m,,,,,,36 m²,,,,,,
2025-10-03T08:01:02.548742,Cập nhật 7 ngày trước,"8,5 tỷ","Nhà ngõ, hẻm",22.5 m²,"377,78 triệu/m²",Đã có sổ,3 phòng,Nội thất đầy đủ,5,4 phòng,,4 m,,,5 m,,,32 m²,,,,,,
2025-10-03T08:01:23.834565,Cập nhật 7 ngày trước,"2,6 tỷ","Nhà ngõ, hẻm",35 m²,"74,29 triệu/m²",Đang chờ sổ,2 phòng,Nội thất đầy đủ,2,2 phòng,Hẻm xe hơi,,,,,,,70 m²,,,,,,
2025-10-03T08:01:38.374446,Cập nhật 8 ngày trước,"9,15 tỷ","Nhà ngõ, hẻm",38 m²,"240,79 triệu/m²",Đã có sổ,3 phòng,,4,3 phòng,,,,,,,,,,,,,,
2025-10-03T08:01:38.391548,Cập nhật 8 ngày trước,"5,79 tỷ",,80 m²,"72,38 triệu/m²",Sổ hồng riêng,3 phòng,,,,,,,,,,,,Đã bàn giao,"Tập thể, cư xá",,,,
2025-10-03T08:01:47.768888,Cập nhật 7 ngày trước,"7,9 tỷ","Nhà ngõ, hẻm",39 m²,"202,56 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-03T08:01:50.865563,Cập nhật 5 ngày trước,"7,75 tỷ","Nhà ngõ, hẻm",31 m²,250 triệu/m²,Đã có sổ,3 phòng,Nội thất đầy đủ,,4 phòng,,3.5 m,,,,,,,,,,,,
2025-10-03T08:01:50.942235,Cập nhật 20 giờ trước,"2,55 tỷ","Nhà ngõ, hẻm",37 m²,"68,92 triệu/m²",Không có sổ,3 phòng,Nội thất đầy đủ,,2 phòng,,,,,,,,,,,,,,
2025-10-03T08:01:53.431663,Cập nhật 7 ngày trước,"6,2 tỷ","Nhà mặt phố, mặt tiền",35 m²,"177,14 triệu/m²",Đã có sổ,4 phòng,,,,Nhà nở hậu,,,,,,,,,,,,,
2025-10-03T08:01:53.993440,Cập nhật 8 ngày trước,"6,85 tỷ",,83 m²,"82,53 triệu/m²",Sổ hồng riêng,3 phòng,,,2 phòng,,,,,,,,,Chưa bàn giao,Chung cư,,,,
2025-10-03T08:02:00.666917,Cập nhật 8 ngày trước,"9,8 tỷ","Nhà ngõ, hẻm",48 m²,"204,17 triệu/m²",Đã có sổ,4 phòng,Nội thất đầy đủ,5,4 phòng,,,,,,,,,,,,,,
2025-10-03T08:02:02.591307,Cập nhật 7 ngày trước,15 tỷ,,30 m²,500 triệu/m²,Đã có sổ,,,,,,,,,,,,,,,,,,Mặt bằng kinh doanh
2025-10-03T08:02:03.586158,Cập nhật 1 ngày trước,"1,9 tỷ",,101 m²,"18,81 triệu/m²",Đã có sổ,,,,,"Mặt tiền
Hẻm xe hơi
Nở hậu
Thổ cư toàn bộ",6 m,Đất thổ cư,,20 m,,,,,,,,,
2025-10-03T08:02:06.911489,Cập nhật 2 ngày trước,"4,797 tỷ","Nhà ngõ, hẻm",18 m²,"266,50 triệu/m²",Đã có sổ,3 phòng,Hoàn thiện cơ bản,4,3 phòng,Nhà nở hậu,3 m,,,6 m,,,,,,,,,
2025-10-03T08:02:16.929845,Cập nhật 7 ngày trước,6 tỷ,,80 m²,75 triệu/m²,Đã có sổ,,,,,"Mặt tiền
Hẻm xe hơi
Thổ cư toàn bộ",4.76 m,Đất thổ cư,,,,,,,,,,,
2025-10-03T08:02:36.141177,Cập nhật 8 ngày trước,"8,39 tỷ","Nhà ngõ, hẻm",31 m²,"270,65 triệu/m²",Đã có sổ,3 phòng,Nội thất đầy đủ,,,,,,,,,,31 m²,,,,,,
2025-10-03T08:02:47.850546,Cập nhật 8 ngày trước,"5,35 tỷ","Nhà ngõ, hẻm",30.5 m²,"175,41 triệu/m²",Đã có sổ,3 phòng,Hoàn thiện cơ bản,5,3 phòng,Nhà nở hậu,3.6 m,,,10 m,,,30.5 m²,,,,,,
2025-10-03T08:02:52.556268,Cập nhật 8 ngày trước,14 tỷ,"Nhà ngõ, hẻm",60 m²,"233,33 triệu/m²",Đã có sổ,nhiều hơn 10 phòng,Nội thất cao cấp,6,Nhiều hơn 6 phòng,Nhà nở hậu,7 m,,Đông Bắc,9.5 m,,,,,,,,,
2025-10-03T08:02:58.342421,Cập nhật 7 ngày trước,9 tỷ,"Nhà ngõ, hẻm",30 m²,"300,27 triệu/m²",Đã có sổ,3 phòng,,,,,,,,,,,,,,,,,
2025-10-03T08:02:58.926797,Cập nhật 7 ngày trước,"7,45 tỷ","Nhà ngõ, hẻm",32 m²,"232,81 triệu/m²",Đã có sổ,3 phòng,Hoàn thiện cơ bản,5,,,,,,,,,,,,,,,
2025-10-03T08:03:01.952264,Cập nhật 7 ngày trước,"10,28 tỷ",,110 m²,"93,45 triệu/m²",Sổ hồng riêng,2 phòng,Nội thất đầy đủ,,2 phòng,,,,,,,,,Đã bàn giao,Chung cư,,,,
2025-10-03T08:03:13.727878,Cập nhật 6 ngày trước,"6,65 tỷ","Nhà ngõ, hẻm",34 m²,"195,59 triệu/m²",Đã có sổ,4 phòng,Nội thất đầy đủ,66,5 phòng,,5.1 m,,,,,,,,,,,,
2025-10-03T08:03:13.622318,Cập nhật 6 ngày trước,"6,8 tỷ","Nhà ngõ, hẻm",36 m²,"188,89 triệu/m²",Đã có sổ,7 phòng,,,,,,,,,,,,,,,,,
2025-10-03T08:03:13.747449,Cập nhật 8 ngày trước,"14,5 tỷ","Nhà mặt phố, mặt tiền",60 m²,"241,67 triệu/m²",Đã có sổ,4 phòng,Nội thất đầy đủ,5,4 phòng,,4 m,,,,,,60 m²,,,,,,
2025-10-03T08:03:15.939362,Cập nhật 7 ngày trước,"7,29 tỷ","Nhà ngõ, hẻm",30 m²,243 triệu/m²,Đã có sổ,3 phòng,,4,,Hẻm xe hơi,,,,,,,,,,,,,
2025-10-03T08:03:20.586736,Cập nhật 9 ngày trước,"13,8 tỷ","Nhà ngõ, hẻm",76 m²,"181,58 triệu/m²",Đã có sổ,4 phòng,,3,,,,,,,,,76 m²,,,,,,
2025-10-03T08:03:26.212378,Cập nhật 8 ngày trước,9 tỷ,"Nhà ngõ, hẻm",38 m²,"236,84 triệu/m²",Đã có sổ,8 phòng,,,Nhiều hơn 6 phòng,,3.5 m,,,12 m,,,38 m²,,,,,,
2025-10-03T08:03:39.666567,Cập nhật 7 ngày trước,"3,7 tỷ",Nhà phố liền kề,32 m²,"115,62 triệu/m²",Đã có sổ,3 phòng,Nội thất đầy đủ,4,4 phòng,"Hẻm xe hơi
Nhà nở hậu",4 m,,,9 m,,,32 m²,,,,,,
2025-10-03T08:03:48.522939,Cập nhật 7 ngày trước,"7,3 tỷ","Nhà ngõ, hẻm",45 m²,"162,22 triệu/m²",Đã có sổ,6 phòng,Nội thất đầy đủ,5,5 phòng,Nhà nở hậu,,,,,,,,,,,,,
2025-10-03T08:03:48.052381,Cập nhật 8 ngày trước,"15,5 tỷ","Nhà ngõ, hẻm",55 m²,"281,82 triệu/m²",Đã có sổ,5 phòng,,6,5 phòng,"Nhà nở hậu
Hẻm xe hơi",4.5 m,,,,,,55 m²,,,,,,
2025-10-03T08:03:55.673538,Cập nhật 6 ngày trước,"6,88 tỷ","Nhà ngõ, hẻm",35 m²,"196,57 triệu/m²",Đã có sổ,5 phòng,Hoàn thiện cơ bản,6,4 phòng,,4 m,,,,,,35 m²,,,,,,
2025-10-03T08:04:01.717420,Cập nhật 6 ngày trước,"30,5 tỷ",Nhà phố liền kề,120 m²,"254,17 triệu/m²",Đã có sổ,6 phòng,Nội thất đầy đủ,4,,"Hẻm xe hơi
Nhà nở hậu",6 m,,Đông Nam,20 m,,,120 m²,,,,,,
2025-10-03T08:04:07.392748,Cập nhật 8 ngày trước,"1,98 tỷ",,48 m²,"41,25 triệu/m²",Hợp đồng mua bán,2 phòng,Nội thất cao cấp,,1 phòng,,,,Bắc,,,,,Đã bàn giao,"Căn hộ dịch vụ, mini",Đông Nam,5,,
2025-10-03T08:04:09.138443,Cập nhật 6 ngày trước,"18,6 tỷ","Nhà mặt phố, mặt tiền",45 m²,"413,33 triệu/m²",Đã có sổ,4 phòng,Nội thất cao cấp,,,,,,,,,,,,,,,,
2025-10-03T08:04:14.819439,Cập nhật 7 ngày trước,"8,75 tỷ","Nhà ngõ, hẻm",46 m²,"190,22 triệu/m²",Đã có sổ,6 phòng,Nội thất đầy đủ,4,3 phòng,,,,,,,,,,,,,,
2025-10-03T08:04:21.458775,Cập nhật 8 ngày trước,"7,2 tỷ",,87 m²,"82,76 triệu/m²",Đã có sổ,,,,,"Mặt tiền
Thổ cư toàn bộ",5 m,Đất nền dự án,,17 m,,m²,,,,,,,
2025-10-03T08:04:20.835857,Cập nhật 8 ngày trước,"8,38 tỷ","Nhà ngõ, hẻm",36 m²,"232,78 triệu/m²",Đã có sổ,3 phòng,,6,,Nhà nở hậu,4 m,,Đông Nam,9 m,,,200 m²,,,,,,
2025-10-03T08:04:22.694040,Cập nhật 6 ngày trước,"29,9 tỷ","Nhà mặt phố, mặt tiền",62 m²,"482,26 triệu/m²",Đã có sổ,4 phòng,,7,Nhiều hơn 6 phòng,,,,,,,,,,,,,,
2025-10-03T08:04:28.232992,Cập nhật 7 ngày trước,"8,25 tỷ","Nhà ngõ, hẻm",35 m²,"235,71 triệu/m²",Đã có sổ,3 phòng,Nội thất cao cấp,5,3 phòng,Hiện trạng khác,4 m,,,,,,175 m²,,,,,,
2025-10-03T08:04:34.758206,Cập nhật 8 ngày trước,"5,2 tỷ","Nhà ngõ, hẻm",30.2 m²,"172,19 triệu/m²",Đã có sổ,3 phòng,,,3 phòng,,,,,,,,30.2 m²,,,,,,
2025-10-03T08:04:37.999668,Cập nhật 8 ngày trước,"6,8 tỷ","Nhà ngõ, hẻm",41 m²,"165,85 triệu/m²",Đã có sổ,3 phòng,,,,,,,,,,,,,,,,,
2025-10-03T08:04:45.802223,Cập nhật 7 ngày trước,26 tỷ,"Nhà mặt phố, mặt tiền",50 m²,520 triệu/m²,Đã có sổ,2 phòng,,3,,,5.2 m,,,9.6 m,,,50 m²,,,,,,
2025-10-03T08:04:44.866381,Cập nhật 8 ngày trước,20 tỷ,"Nhà ngõ, hẻm",65 m²,"307,69 triệu/m²",Đã có sổ,6 phòng,Nội thất cao cấp,6,,Hẻm xe hơi,4.5 m,,,14 m,,,,,,,,,
2025-10-03T08:04:48.234746,Cập nhật 7 ngày trước,"5,5 tỷ","Nhà ngõ, hẻm",22 m²,250 triệu/m²,Đã có sổ,3 phòng,,,,Hẻm xe hơi,,,,,,,22 m²,,,,,,
2025-10-03T08:04:48.543208,Cập nhật 7 ngày trước,"7,4 tỷ","Nhà ngõ, hẻm",36 m²,"205,56 triệu/m²",Đã có sổ,3 phòng,,,,,,,,,,,,,,,,,
2025-10-03T08:04:59.603512,Cập nhật 21 phút trước,"5,79 tỷ","Nhà ngõ, hẻm",41 m²,"141,22 triệu/m²",Đã có sổ,3 phòng,Nội thất đầy đủ,4,4 phòng,,4 m,,Bắc,,,,41 m²,,,,,,
2025-10-03T08:04:59.187297,Cập nhật 6 ngày trước,"14,5 tỷ",Nhà biệt thự,47 m²,"308,51 triệu/m²",Đã có sổ,5 phòng,Nội thất cao cấp,5,,"Hẻm xe hơi
Nhà nở hậu",5 m,,,10 m,,,47 m²,,,,,,
2025-10-03T08:05:11.286308,Cập nhật 7 ngày trước,"8,35 tỷ","Nhà ngõ, hẻm",43 m²,"194,19 triệu/m²",Đã có sổ,4 phòng,Nội thất đầy đủ,5,4 phòng,,,,,,,,,,,,,,
2025-10-03T08:05:11.894593,Cập nhật 21 giờ trước,"9,1 tỷ","Nhà ngõ, hẻm",41 m²,"221,95 triệu/m²",Đã có sổ,6 phòng,Nội thất đầy đủ,,3 phòng,,4 m,,,10 m,,,45 m²,,,,,,
2025-10-03T08:05:15.590423,Cập nhật 2 ngày trước,"6,85 tỷ","Nhà ngõ, hẻm",30 m²,"228,33 triệu/m²",Đã có sổ,3 phòng,,4,4 phòng,Nhà nở hậu,,,,,,,35 m²,,,,,,
2025-10-03T08:05:25.379550,Cập nhật 8 ngày trước,46 tỷ,"Nhà mặt phố, mặt tiền",130 m²,"353,85 triệu/m²",Đã có sổ,6 phòng,Nội thất đầy đủ,6,5 phòng,Hẻm xe hơi,4 m,,Đông Nam,32 m,,,130 m²,,,,,,
2025-10-03T08:05:27.282675,Cập nhật 7 ngày trước,"7,6 tỷ","Nhà ngõ, hẻm",44 m²,"172,73 triệu/m²",Đã có sổ,3 phòng,,4,,,,,,,,,,,,,,,
2025-10-03T08:05:42.736534,Cập nhật 6 ngày trước,"4,95 tỷ",,70 m²,"70,71 triệu/m²",Sổ hồng riêng,2 phòng,,,,,,,,,,,,Đã bàn giao,"Tập thể, cư xá",,,,
2025-10-03T08:05:50.628175,Cập nhật 7 ngày trước,"8,2 tỷ","Nhà ngõ, hẻm",50 m²,164 triệu/m²,Đã có sổ,4 phòng,Nội thất đầy đủ,5,4 phòng,,4 m,,,,,,50 m²,,,,,,
2025-10-03T08:05:51.978907,Cập nhật 15 giờ trước,7 tỷ,"Nhà ngõ, hẻm",55 m²,"127,27 triệu/m²",Đã có sổ,4 phòng,Nội thất đầy đủ,,4 phòng,,4 m,,,13 m,,,55 m²,,,,,,
2025-10-03T08:05:53.760849,Cập nhật 8 ngày trước,12 tỷ,"Nhà ngõ, hẻm",35 m²,"342,86 triệu/m²",Đã có sổ,4 phòng,,6,,Nhà nở hậu,,,,,,,,,,,,,
2025-10-03T08:05:55.658627,Cập nhật 9 ngày trước,5 tỷ,"Nhà ngõ, hẻm",40 m²,125 triệu/m²,Đã có sổ,6 phòng,,,6 phòng,Hẻm xe hơi,,,,,,,,,,,,,
2025-10-03T08:06:02.919553,Cập nhật 6 ngày trước,"31,8 tỷ","Nhà mặt phố, mặt tiền",50 m²,636 triệu/m²,Đã có sổ,4 phòng,,4,,,3.8 m,,,,,,,,,,,,
2025-10-03T08:06:05.237485,Cập nhật 6 ngày trước,9 tỷ,"Nhà ngõ, hẻm",29 m²,"310,34 triệu/m²",Đã có sổ,4 phòng,,6,4 phòng,,,,,,,,29 m²,,,,,,
2025-10-03T08:06:16.218104,Cập nhật 8 ngày trước,"9,3 tỷ","Nhà ngõ, hẻm",41 m²,"226,83 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-03T08:06:17.240537,Cập nhật 8 ngày trước,"5,5 tỷ",,70 m²,"78,57 triệu/m²",Sổ hồng riêng,2 phòng,Nội thất cao cấp,,2 phòng,,,,,,,,,Đã bàn giao,Chung cư,Nam,15,Căn góc,
2025-10-03T08:06:19.714486,Cập nhật 1 ngày trước,"2,95 tỷ",,42 m²,"70,24 triệu/m²",Đã có sổ,,,,,,,Đất thổ cư,,,,m²,,,,,,,
2025-10-03T08:06:26.217312,Cập nhật 6 ngày trước,"2,3 tỷ",,46 m²,50 triệu/m²,Sổ hồng riêng,1 phòng,,,1 phòng,,,,,,,,,Đã bàn giao,"Tập thể, cư xá",,,Căn góc,
2025-10-03T08:06:42.005355,Cập nhật 7 ngày trước,"9,5 tỷ","Nhà ngõ, hẻm",60 m²,"158,33 triệu/m²",Đã có sổ,4 phòng,Nội thất đầy đủ,,,,,,,,,,,,,,,,
2025-10-03T08:06:43.815320,Cập nhật 6 ngày trước,15 tỷ,"Nhà mặt phố, mặt tiền",47 m²,"319,15 triệu/m²",Đã có sổ,4 phòng,Nội thất cao cấp,4,4 phòng,,3.65 m,,Đông Nam,13 m,,,,,,,,,
2025-10-03T08:06:51.545713,Cập nhật 8 ngày trước,"3,5 tỷ","Nhà ngõ, hẻm",18 m²,"194,44 triệu/m²",Đã có sổ,3 phòng,Nội thất đầy đủ,6,4 phòng,"Nhà nở hậu
Hẻm xe hơi",3.3 m,,,,,,18 m²,,,,,,
