now,published_at,price,house_type,size,living_size,price_m2,property_legal_document,rooms,toilets,furnishing_sell,width,length,floors,property_status,apartment_type,pty_characteristics,land_type,size_unit,direction,commercial_type,floornumber,block,balconydirection,unitnumber,apartment_feature
2025-10-04T00:05:15.263745,Cập nhật 8 ngày trước,"7,7 tỷ","Nhà ngõ, hẻm",45 m²,,"171,11 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,,,5,,,,,,,,,,,,
2025-10-04T00:05:20.010258,Cập nhật 8 ngày trước,"6,45 tỷ","Nhà ngõ, hẻm",25 m²,,258 triệu/m²,Đã có sổ,3 phòng,4 phòng,,,,4,,,,,,,,,,,,
2025-10-04T00:05:23.436367,Cập nhật 8 ngày trước,16 tỷ,"Nhà mặt phố, mặt tiền",45 m²,50 m²,"355,56 triệu/m²",Đã có sổ,2 phòng,2 phòng,Bàn giao thô,4 m,12 m,2,,,,,,,,,,,,
2025-10-04T00:05:29.863215,Cập nhật 7 ngày trước,"11,5 tỷ","Nhà ngõ, hẻm",36 m²,36 m²,"319,44 triệu/m²",Đã có sổ,6 phòng,,Nội thất đầy đủ,,,5,,,,,,,,,,,,
2025-10-04T00:05:32.173971,Cập nhật 7 ngày trước,"3,5 tỷ",,80 m²,,"43,75 triệu/m²",Sổ hồng riêng,2 phòng,3 phòng,Nội thất đầy đủ,,,,Đã bàn giao,"Tập thể, cư xá",,,,,,,,,,
2025-10-04T00:05:37.344439,Cập nhật 17 giờ trước,"24,5 tỷ","Nhà mặt phố, mặt tiền",50 m²,,490 triệu/m²,Đã có sổ,5 phòng,Nhiều hơn 6 phòng,,,,7,,,,,,,,,,,,
2025-10-04T00:05:45.629974,Cập nhật 9 ngày trước,18 tỷ,"Nhà ngõ, hẻm",55 m²,55 m²,"327,27 triệu/m²",Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,Nội thất đầy đủ,7 m,7.85 m,6,,,"Nhà nở hậu
Hẻm xe hơi
Hiện trạng khác",,,,,,,,,
2025-10-04T00:05:48.945152,Cập nhật 3 ngày trước,"5,2 tỷ","Nhà ngõ, hẻm",25 m²,,208 triệu/m²,Đã có sổ,3 phòng,,Nội thất cao cấp,,,5,,,,,,,,,,,,
2025-10-04T00:05:52.760797,Cập nhật 8 ngày trước,8 tỷ,"Nhà ngõ, hẻm",35 m²,,"228,57 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất cao cấp,3.4 m,10 m,5,,,Hiện trạng khác,,,,,,,,,
2025-10-04T00:06:03.108451,Cập nhật 8 ngày trước,"7,2 tỷ","Nhà ngõ, hẻm",31 m²,,"232,26 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,,,5,,,Hẻm xe hơi,,,Tây Nam,,,,,,
2025-10-04T00:06:05.126176,Cập nhật 9 ngày trước,"3,8 tỷ",Nhà phố liền kề,21 m²,,"180,95 triệu/m²",Đã có sổ,3 phòng,,,,,,,,,,,,,,,,,
2025-10-04T00:06:09.036602,Cập nhật 7 ngày trước,118 tỷ,"Nhà mặt phố, mặt tiền",216 m²,216 m²,"546,30 triệu/m²",Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,,12 m,20 m,10,,,,,,Đông Bắc,,,,,,
